Price,Close,High,Low,Open,Volume
Ticker,035250.KS,035250.KS,035250.KS,035250.KS,035250.KS
Date,,,,,
2001-10-26,7125.35107421875,7125.35107421875,7125.35107421875,7125.35107421875,86670
2001-10-29,7963.6298828125,7963.6298828125,7823.916983939847,7963.6298828125,6989240
2001-10-30,7963.6298828125,8196.48422763704,7521.205946364041,7917.058916521615,22488190
2001-10-31,7754.06201171875,8126.6293147024035,7730.7762815529195,8080.058341000702,7325220
2001-11-01,7521.20556640625,7823.916588689639,7474.634602468047,7754.060386097263,6980680
2001-11-02,7148.63623046875,7637.630997387436,6892.496230327949,7497.918137320705,10524520
2001-11-05,7497.919921875,7497.919921875,6939.068835227584,7195.208896331405,11592380
2001-11-06,7334.92138671875,7567.776196126116,7334.92138671875,7544.490471870461,5335020
2001-11-07,7451.34814453125,7637.631483172198,7358.206231895888,7358.206231895888,5969530
2001-11-08,7381.49267578125,7567.776531564083,7358.207437123325,7451.349365014741,3259220
2001-11-09,7381.49267578125,7381.49267578125,7381.49267578125,7381.49267578125,0
2001-11-12,7125.35107421875,7171.922028078334,6939.0672587804165,7055.494886744251,3574870
2001-11-13,6985.6396484375,7218.494465595368,6962.354410036639,7032.210611869074,3493550
2001-11-14,6985.6396484375,7102.06730033136,6939.068685005926,6985.6396484375,3643350
2001-11-15,7148.63623046875,7218.4929038169885,7008.923857031765,7078.780043750257,4193330
2001-11-16,7078.78125,7171.923172582873,7032.210288708564,7171.923172582873,2098270
2001-11-19,7032.21044921875,7102.067136065297,6939.068524509913,7078.781411573168,3568450
2001-11-20,6985.6396484375,7125.352538732221,6939.068685005926,7008.9253734682125,2681420
2001-11-21,6682.9287109375,7008.925458933653,6613.072508253253,6962.354494934203,5000110
2001-11-22,6519.931640625,6706.215526919126,6333.647754330874,6519.931640625,6835160
2001-11-23,6636.35986328125,6822.643778685218,6473.361680617784,6566.5036383197685,4370950
2001-11-26,6566.50244140625,6799.356806587516,6566.50244140625,6659.644382130726,3104070
2001-11-27,6263.7900390625,6636.357235728797,6217.219078650485,6519.93007801367,4791460
2001-11-28,5821.36767578125,6380.218859758103,5821.36767578125,6193.934969555836,5705240
2001-11-29,6147.36279296875,6310.361408285426,5425.513589762922,5704.9388837074985,10609050
2001-11-30,6193.93408203125,6310.361740039801,6007.650705151348,6240.505047908695,3490340
2001-12-03,6752.78564453125,6752.78564453125,6263.79074816273,6263.79074816273,6778450
2001-12-04,6799.35498046875,7171.922643305281,6752.7845092439775,6845.925938323317,6370780
2001-12-05,6613.07275390625,6962.35475356183,6473.359856718043,6892.498061652788,6056200
2001-12-06,6589.7861328125,6822.640929837083,6426.788018210197,6613.071855829863,6049780
2001-12-07,6519.931640625,6682.929797817393,6496.645911523266,6519.931640625,2918960
2001-12-10,6380.21630859375,6613.071078238331,6380.21630859375,6566.500124309415,2947850
2001-12-11,6287.07470703125,6403.502340840569,6240.503750833478,6263.789472247252,1783690
2001-12-12,6380.21630859375,6473.358216451583,6124.076305299587,6147.361538949169,2896490
2001-12-13,6287.07470703125,6333.645663229022,6217.21851604948,6287.07470703125,1744100
2001-12-14,6217.21875,6473.358775411267,6193.933027709997,6310.360665900423,2435320
2001-12-17,6077.5068359375,6333.646901799597,6054.221109970106,6240.504971189766,1837190
2001-12-18,5867.9375,6170.648519024378,5867.9375,6054.220867117412,2351860
2001-12-19,5728.22509765625,5961.079934676388,5681.654130252222,5867.937999868333,2883650
2001-12-20,5774.796875,5821.3678489358035,5635.0839531925885,5728.2259010641965,1959170
2001-12-21,5798.07958984375,6124.076265212235,5658.367215601292,5681.652449098451,3412230
2001-12-24,6147.36279296875,6193.9337563978215,5821.3665355951025,5821.3665355951025,3606970
2001-12-25,6147.36279296875,6147.36279296875,6147.36279296875,6147.36279296875,0
2001-12-26,6193.93408203125,6380.217945541029,6147.363116153805,6287.076013786139,2422480
2001-12-27,6091.623046875,6185.702231814792,6044.583454405103,6044.583454405103,1277580
2001-12-28,6232.740234375,6303.299359317589,6091.62149296329,6162.180617905879,1869290
2001-12-31,6232.740234375,6232.740234375,6232.740234375,6232.740234375,0
2002-01-01,6232.740234375,6232.740234375,6232.740234375,6232.740234375,0
2002-01-02,6585.53857421875,6632.578167061311,6279.781466505426,6303.301017163377,3600550
2002-01-03,6585.53857421875,6585.538574218749,6585.538574218749,6585.538574218749,0
2002-01-04,6797.216796875,7032.414771490172,6750.177201951965,6867.775943496211,3632650
2002-01-07,6844.2568359375,6891.296433913041,6656.098444035334,6820.737282713086,2123950
2002-01-08,7079.45263671875,7126.49222014879,6773.695590186767,6773.695590186767,4214730
2002-01-09,7102.97314453125,7244.0919139312,7032.414005594588,7102.973144531249,1967730
2002-01-10,7455.76953125,7620.407843360374,7126.492907029254,7197.052043211812,5218390
2002-01-11,7526.328125,7573.367214975117,7173.531509500829,7455.768506984241,3632650
2002-01-14,7573.36865234375,7596.888693321777,7432.2503725821225,7526.3295534409635,1883200
2002-01-15,7220.57080078125,7596.88746328601,7197.05125513798,7502.80829765982,2221320
2002-01-16,7055.93310546875,7220.571413522595,6985.373971024702,7102.972692273648,2747760
2002-01-17,7055.93310546875,7126.492731439395,6844.255210610007,7008.893518663852,1931350
2002-01-18,6867.7744140625,7055.932751852313,6867.774414062499,7008.89316740486,1116010
2002-01-21,7361.69091796875,7361.690917968749,6726.657169210922,6773.696760770018,2899700
2002-01-22,7455.76953125,7596.888295141724,7314.650767358276,7361.690355322185,2693190
2002-01-23,7714.48876953125,7714.488769531251,7385.212070605067,7408.731624159772,3569520
2002-01-24,7643.92724609375,7879.125166312911,7479.2889477036215,7761.525960440046,3572730
2002-01-25,8561.2001953125,8561.200195312498,7761.527590181185,7761.527590181185,9824740
2002-01-28,8749.357421875,9501.989842709467,8678.797794497226,8937.51577284692,14064080
2002-01-29,8890.4736328125,9008.07232914789,8514.158001149848,8796.39447913359,3899080
2002-01-30,8184.8828125,8725.837822609488,8067.283598068701,8608.239099704791,5068590
2002-01-31,8184.8828125,8184.882812500001,8184.882812500001,8184.882812500001,0
2002-02-01,8349.521484375,8796.396847371521,8349.521484375,8561.199391378957,2649320
2002-02-04,8067.283203125,8537.679054768189,7949.684485977494,8278.961090601146,2310130
2002-02-05,8114.32421875,8114.32421875,7808.567107043807,7902.646293957508,2379680
2002-02-06,8843.4365234375,9078.633968659746,8231.922379417094,8278.961475240261,9429910
2002-02-07,8490.6396484375,8796.396730382676,8396.560470681043,8702.317552626218,3112630
2002-02-08,8678.798828125,8984.555939106134,8584.719641434396,8655.27927721568,3609110
2002-02-11,8678.798828125,8678.798828125,8678.798828125,8678.798828125,0
2002-02-12,8678.798828125,8678.798828125,8678.798828125,8678.798828125,0
2002-02-13,8678.798828125,8678.798828125,8678.798828125,8678.798828125,0
2002-02-14,8937.517578125,9031.596772613899,8749.3591891472,8890.477489353845,2154980
2002-02-15,8702.31640625,9008.073447917095,8678.796860672479,8843.43564582134,2657880
2002-02-18,8467.119140625,8702.316566846876,8396.559519537188,8561.198307724375,3287040
2002-02-19,8443.6005859375,8584.718861628044,8326.001859019842,8561.19931285516,2195640
2002-02-20,8725.8388671875,8725.8388671875,8349.522122400693,8420.08175781155,2838710
2002-02-21,8655.2783203125,8843.436672891452,8561.199144023023,8702.317416930628,1683110
2002-02-22,8537.6787109375,8655.277423349055,8514.159165065814,8561.198256809188,1387790
2002-02-25,8749.357421875,8890.475693577333,8655.27824638904,8702.317342605415,2985300
2002-02-26,8537.6787109375,8890.474848172164,8514.159165065814,8890.474848172164,2714590
2002-02-27,8420.0791015625,8608.237414598347,8184.881210267694,8514.158258080422,3381200
2002-02-28,8514.1611328125,8631.759872402836,8467.121047144357,8467.121047144357,2025510
2002-03-01,8514.1611328125,8514.1611328125,8514.1611328125,8514.1611328125,0
2002-03-04,8866.9560546875,8913.99613347548,8608.239062039815,8655.278157774594,3870190
2002-03-05,8866.9560546875,9243.272752778536,8819.916958952721,8961.035229210258,3949370
2002-03-06,8819.916015625,8961.034270789336,8725.83685116441,8937.514725437462,1379230
2002-03-07,8843.4365234375,9078.633968659746,8749.35734873796,8890.475619260667,2805540
2002-03-08,8890.4736328125,9055.112397513836,8796.39447913359,8866.954090156018,2027650
2002-03-11,9384.3916015625,9407.911150879816,8866.956601315236,9008.074880272394,6600830
2002-03-12,9454.951171875,9760.708260197198,9266.792812437763,9454.951171875,5367120
2002-03-13,9549.0302734375,9690.148550333786,9407.911013487965,9454.951094488893,2591540
2002-03-14,9854.7880859375,9878.307636645643,9360.872605799887,9643.110163457568,3807060
2002-03-15,10160.54296875,10348.70129930781,9760.70676207793,9854.785927356836,5474120
2002-03-18,10113.50390625,10560.380231789653,10066.464810431724,10348.702334500998,3910850
2002-03-19,10113.50390625,10160.543985121481,9666.628563763552,10113.50390625,4850310
2002-03-20,9713.66796875,10184.063857170628,9713.66796875,10019.426033513333,2892210
2002-03-21,9713.66796875,9995.905501802376,9501.990064724027,9501.990064724027,2060820
2002-03-22,9831.267578125,9925.346754851995,9666.628773089453,9784.22749823489,1663850
2002-03-25,9972.3857421875,10113.504014201835,9737.188294479201,9854.78701833335,1837190
2002-03-26,9925.3486328125,10254.625322132324,9925.348632812502,9925.348632812502,2688910
2002-03-27,9596.0703125,9807.74824013093,9243.274094132898,9737.189586289516,6528070
2002-03-28,9572.55078125,9760.709157994179,9525.51167859063,9643.110418292405,1952750
2002-03-29,9831.267578125,9972.38585168888,9454.95087121702,9596.0691447809,3664750
2002-04-01,8725.8388671875,9384.39218751109,8655.279231776643,9172.714264331842,6193160
2002-04-02,8796.3994140625,8913.999159426321,8537.68233359058,8819.919952967386,2966040
2002-04-03,8937.517578125,9102.155431190517,8772.878742006073,8772.878742006073,1857520
2002-04-04,8937.517578125,9102.155431190517,8890.477489353845,8937.517578125,1211240
2002-04-05,8937.517578125,8937.517578125,8937.517578125,8937.517578125,0
2002-04-08,8796.3994140625,9125.677128195543,8796.3994140625,8984.55782698037,1625330
2002-04-09,8678.798828125,8890.476752415529,8678.798828125,8796.397565724925,1126710
2002-04-10,8349.521484375,8702.317668363845,8326.001935386394,8678.798119375238,2480260
2002-04-11,8373.0419921875,8490.64073365039,8161.364060943623,8326.002888823688,1430590
2002-04-12,8678.798828125,8678.798828125,8208.40338619864,8231.923428634624,1791180
2002-04-15,8961.03515625,9008.074251601789,8702.31718265558,8702.31718265558,1593230
2002-04-16,8937.517578125,9125.6759671028,8866.957936494973,8961.037130983872,1148110
2002-04-17,8913.9970703125,9125.674989472185,8866.956986580733,9078.634905740419,1376020
2002-04-18,9102.15234375,9102.152343749998,8890.47447371424,8937.514546529452,1310750
2002-04-19,8890.4736328125,9125.672008536263,8866.954090156018,9078.631940170317,991890
2002-04-22,8537.6787109375,8796.395681632295,8443.599544397634,8725.837044017235,1938840
2002-04-23,8326.00390625,8467.122216639262,8278.963814084591,8349.523460805964,1499070
