Price,Close,High,Low,Open,Volume
Ticker,023530.KQ,023530.KQ,023530.KQ,023530.KQ,023530.KQ
Date,,,,,
2006-02-09,285452.0625,297695.7171415441,282303.69416360295,293847.7113970588,602304
2006-02-10,282653.5,286851.32425742573,279854.95049504953,286151.6868811881,168457
2006-02-13,278455.71875,283353.1811400754,278455.71875,283003.36239792715,156333
2006-02-14,275657.1875,278455.7376269035,269710.26848032995,274257.9124365482,77681
2006-02-15,278455.71875,279505.17497644474,275307.3500706658,279155.3562342965,49746
2006-02-16,284052.8125,290349.54972290643,278455.71274630545,280904.4438885468,50953
2006-02-17,282303.71875,284402.63115706324,281604.081280979,284052.81242255267,29851
2006-02-20,289650.0,291748.9130434783,281254.347826087,281254.347826087,64736
2006-02-21,287550.96875,290699.33702098543,285452.0565693431,288600.42484032846,75098
2006-02-22,287900.8125,289649.9061360875,285801.900136695,286851.3563183475,38167
2006-02-23,290349.5625,292798.29375,286151.7375,287900.83125,75155
2006-02-24,284052.8125,288250.63731527096,283353.1750307882,287550.99984605913,46810
2006-02-27,284752.4375,286851.3498157248,282653.5251842752,284052.800061425,41812
2006-02-28,293847.71875,296646.26845238096,287201.16320684523,287550.9819196429,195045
2006-03-02,288950.28125,289649.91873486683,286501.5500529661,288600.4625075666,83349
2006-03-03,281953.875,290699.3425868486,281604.05629652605,288950.2490694789,51535
2006-03-06,281254.21875,283003.31215018657,280904.40006996266,281254.21875,54984
2006-03-07,275657.1875,281953.92528553295,275307.36873413704,281254.2877538071,61020
2006-03-08,275657.1875,277406.2813293147,273208.4561389594,274957.5499682741,34461
2006-03-09,275657.1875,277756.10009517765,274257.9124365482,275307.36873413704,23688
2006-03-10,279854.9375,280554.57484375,273908.020078125,273908.020078125,29237
2006-03-13,278805.4375,280204.7119667503,277755.9816499373,279155.25611668755,25859
2006-03-14,281254.21875,284402.5868703358,277756.03194962686,277756.03194962686,49047
2006-03-15,275657.1875,280904.4689879441,274957.5499682741,280904.4689879441,45872
2006-03-16,274257.84375,277406.211854273,273558.2063934949,275657.11846301024,31586
2006-03-17,277056.4375,277056.4375,272858.6126893939,273908.0688920454,25110
2006-03-20,276706.59375,276706.59375,273208.40672408347,273208.40672408347,20839
2006-03-21,276356.8125,277756.0875,275657.175,276356.8125,33054
2006-03-22,273208.40625,274957.4997599232,272858.5875480154,273558.22495198465,15206
2006-03-23,266561.84375,273558.21760170604,266561.84375,273208.39890912076,56194
2006-03-24,267961.125,268310.9437010444,264462.9379895562,266561.8501958225,24770
2006-03-27,264812.78125,268310.9685848745,264113.1437830251,267961.1498513871,38325
2006-03-28,259565.453125,262713.82115481806,259565.45312500003,262713.82115481806,38269
2006-03-29,264113.1875,266911.7378311258,258865.90562913907,258865.90562913907,24098
2006-03-30,265862.1875,267261.46217105264,265512.36883223685,266911.6435032895,26663
2006-03-31,278455.71875,279155.3562342965,266561.8815169598,267611.33774340455,67313
2006-04-03,283702.96875,283702.96875,277056.413378545,278455.68819358817,39644
2006-04-04,278805.4375,281953.8050501882,276706.5257998745,281953.8050501882,76969
2006-04-05,278805.4375,281953.8050501882,276706.5257998745,281953.8050501882,81371
2006-04-06,291748.78125,294897.1493929856,287550.9570593525,287550.9570593525,140093
2006-04-07,288600.40625,288600.40625,286151.67553030304,286851.31287878787,92474
2006-04-10,282653.5,289649.87376237626,282653.5,289649.87376237626,54079
2006-04-11,281254.21875,284402.5868703358,280204.76270988805,280204.76270988805,47749
2006-04-12,282653.5,284052.77475247526,279854.95049504953,279854.95049504953,45083
2006-04-13,287900.8125,292448.4559538275,280904.43795565004,282303.71286452,54398
2006-04-14,283353.125,285452.037037037,281953.85030864197,283353.125,20333
2006-04-17,285102.25,285102.25,283353.1564417178,284052.7938650307,14730
2006-04-18,282653.5,285102.2308168317,282653.5,283353.13737623766,20915
2006-04-19,278455.71875,283353.1811400754,278455.71875,281953.9061714824,68066
2006-04-20,272158.96875,279854.98071979434,269360.41894280206,278455.7058161954,60347
2006-04-21,278805.4375,280204.7119667503,274957.4327164366,276006.88856649934,40571
2006-04-24,280204.78125,281953.8747659176,278105.8690308989,278105.8690308989,38972
2006-04-25,279854.9375,284752.39890624996,279155.30015625,279854.9375,43184
2006-04-26,283353.125,286501.49305555556,280904.3942901235,285801.8557098766,37175
2006-04-27,283702.96875,284752.4248612824,283003.33134247846,283353.1500462392,25352
2006-04-28,275657.1875,284752.4754124365,268660.8121827411,283703.0191148477,89910
2006-05-02,271809.125,277056.4054054054,271459.3063063063,272508.7623873874,104556
2006-05-03,272858.625,273558.2625,270409.89375,271459.35000000003,64847
2006-05-04,266561.84375,272158.94283136487,266561.84375,272158.94283136487,97259
2006-05-08,262713.8125,267961.0923768309,262363.9938415446,267611.2737183755,88688
2006-05-09,260614.953125,261664.40931208053,257816.40329278522,261664.40931208053,101357
2006-05-10,265512.40625,266911.6811182477,260614.94421113306,260614.94421113306,59237
2006-05-11,268660.8125,271459.3626302084,262364.07470703125,262364.07470703125,43196
2006-05-12,264462.9375,267611.3058035714,264462.9375,266561.84970238095,21458
2006-05-15,267961.125,269360.3998041776,262713.84448433423,264462.9379895562,54342
2006-05-16,264462.9375,266911.66840277775,263763.30009920633,265862.2123015873,32731
2006-05-17,264812.78125,267961.1498513871,263763.32504953764,264462.96251651255,18213
2006-05-18,262364.03125,263763.30608333333,259915.30029166667,262713.84995833336,46000
2006-05-19,265162.5625,265862.1998680739,261314.55697559367,262364.0130277045,37100
2006-05-22,265162.5625,265862.1998680739,261314.55697559367,262364.0130277045,37194
2006-05-23,238926.1875,250120.3866215227,236827.2751647145,249770.5678989751,121447
2006-05-24,235777.828125,241724.74663853858,229481.09087537092,238926.19674981455,86946
2006-05-25,236477.421875,239625.7899177145,235427.96586076182,237177.05921782544,73739
2006-05-26,237526.90625,242424.3682345361,234378.53783136967,234378.53783136967,148950
2006-05-29,243823.6875,246272.41893830703,239975.68095408898,240675.31850789097,36300
2006-05-30,244873.109375,247671.65919642858,243823.6531919643,245222.92810267856,46818
2006-05-31,243823.6875,246272.41893830703,239975.68095408898,240675.31850789097,36325
2006-06-01,242074.5,242774.137283237,238226.49494219656,239275.95086705204,75462
2006-06-02,245572.78125,248371.33146367522,243473.8685897436,244873.1436965812,64935
2006-06-05,249070.921875,251169.8341379916,246972.00961200843,247671.64703300563,53645
2006-06-07,255017.78125,259215.60480967077,246272.31550068586,246272.31550068586,73255
2006-06-08,251169.84375,260265.13057103063,246272.3816155989,258166.21822771587,122183
2006-06-09,244173.484375,249070.9468123209,240675.29691977077,249070.9468123209,60322
2006-06-12,242074.5,243473.774566474,238226.49494219656,240675.22543352604,44395
2006-06-13,237876.703125,245922.53278952205,237876.703125,241374.88993566178,38937
2006-06-14,244873.109375,245572.74683035712,236127.6411830357,236477.45991071427,34732
2006-06-15,246272.3125,247321.76837713068,244523.21937144885,244873.0379971591,40702
2006-06-16,250470.203125,255017.84647782822,246972.01593051676,246972.01593051676,29748
2006-06-19,249070.921875,251869.4715589888,249070.92187500003,249070.92187500003,9350
2006-06-20,251869.5,253968.4125,248721.13125,251869.5,22705
2006-06-21,246972.046875,254668.05966713882,246972.046875,254668.05966713882,23541
2006-06-22,249770.5625,252918.93093487393,247671.65021008402,248371.287640056,19214
2006-06-23,249770.5625,250470.19992997198,244873.10049019606,250470.19992997198,6957
2006-06-26,249420.765625,251869.49684431977,246622.2156600631,246622.2156600631,13343
2006-06-27,248371.25,250470.161971831,246971.97535211267,247671.61267605633,12600
2006-06-28,247671.640625,251519.64634092516,246272.36581920905,246272.36581920905,14544
2006-06-29,253268.765625,255367.67804730666,249420.75951743787,252569.1281508978,31570
2006-06-30,258166.171875,261664.35848577233,254667.98526422764,254667.98526422764,53498
2006-07-03,252219.25,258166.16712898752,251869.4313453537,258166.16712898752,29860
2006-07-04,251869.5,257116.78125,251869.5,254668.05000000002,11200
2006-07-05,250820.0625,253968.43148535566,248721.14984309624,251869.5188284519,15300
2006-07-06,250820.0625,254668.0690376569,250120.42494769875,251869.5188284519,19900
2006-07-07,253268.765625,254668.04057320443,251169.8532026934,252569.1281508978,33300
2006-07-10,260614.953125,262713.86549916107,251869.48489932885,252918.94108640938,47400
2006-07-11,259915.28125,263063.6493943473,256766.91310565278,263063.6493943473,18800
2006-07-12,264462.9375,266212.03100198414,259565.47569444444,263063.66269841266,30300
2006-07-13,264462.9375,266911.66840277775,260614.9317956349,264462.9375,31900
2006-07-14,259565.453125,260964.72780491915,255367.6290852426,260964.72780491915,26400
2006-07-18,256417.140625,258166.2343536835,253268.77191336974,258166.2343536835,26800
2006-07-19,244873.109375,252569.12138392858,242774.19700892858,251869.48392857143,91900
2006-07-20,245922.578125,248371.30934388336,244873.1218883357,244873.1218883357,94800
2006-07-21,237876.703125,242074.52729779412,234378.51631433822,241374.88993566178,64457
2006-07-24,224233.8125,235428.0121879875,220735.6250975039,235078.1934477379,142466
2006-07-25,224583.671875,225633.12828563084,222134.94025019472,224233.8530714564,125011
2006-07-26,225633.0625,228781.43081395348,224933.4250968992,225283.2437984496,88600
2006-07-27,225633.0625,227731.9747093023,221085.41937984494,224583.60639534882,71100
2006-07-28,226332.6875,230180.69300618238,225633.05013523958,225633.05013523958,53006
2006-07-31,229481.046875,233329.05223418443,225633.04151581554,230180.68421303353,75637
2006-08-01,230530.53125,232979.26223444613,228431.61897761762,229481.0751138088,71192
2006-08-02,223884.015625,231929.84743652344,221435.28420410157,229481.116015625,51417
2006-08-03,213389.375,223883.93442622953,209891.18852459016,222484.65983606558,185370
2006-08-04,212340.0,214788.73146622736,210940.72487644153,214788.73146622736,179103
2006-08-07,214788.703125,215838.1593291938,212689.79071661236,212689.79071661236,109846
2006-08-08,219686.171875,220385.80936504775,213739.25320959394,214788.70944466558,115723
2006-08-09,221085.46875,223884.01898734175,219336.37485166139,220036.01241099683,68650
2006-08-10,221785.046875,222834.50293276814,220035.95344538643,222134.8655609227,44601
2006-08-11,229481.046875,230880.32155106706,223883.9481707317,224233.76683974848,78598
2006-08-14,231579.96875,233678.88085347431,229830.87533043805,230880.3313821752,125052
2006-08-16,228781.375,233329.01701070336,226682.4633027523,231579.9239296636,41560
2006-08-17,230530.53125,231579.9873861912,227382.1628414264,229481.0751138088,127871
2006-08-18,230880.34375,234728.34947916667,230530.5250473485,234378.53077651517,121621
2006-08-21,228431.5625,230180.65562787134,226332.65074655434,228781.38112557426,69300
2006-08-22,226682.546875,230880.37181712964,226682.546875,230530.55307195216,31000
2006-08-23,225982.890625,226682.52805727554,224933.43447658667,225982.890625,27031
2006-08-24,224583.671875,225283.30948208724,222834.57785728195,224233.8530714564,25020
2006-08-25,223884.015625,227732.0221435547,221785.10297851564,226332.74704589843,29129
2006-08-28,224583.671875,227382.2223033489,223534.21546436916,223884.0342679128,23652
2006-08-29,225283.25,227032.34355590062,223534.15644409935,224583.61257763972,20463
2006-08-30,223184.328125,225283.24030172414,222484.69073275864,224233.7842133621,77133
2006-08-31,229131.25,231230.16221374046,223883.96946564884,224933.42557251907,43458
2006-09-01,230880.34375,231579.98115530304,227382.15672348486,228781.43153409092,31197
2006-09-04,231929.8125,232629.4499434389,228781.44400452488,228781.44400452488,30572
2006-09-05,233678.921875,235078.19685628742,231929.82814839072,232279.64689371258,34445
2006-09-06,233678.921875,234378.5593656437,231929.82814839072,232279.64689371258,37921
2006-09-07,231929.8125,233329.0873868778,231230.17505656107,233329.0873868778,29554
2006-09-08,234378.546875,234378.546875,230880.35960820894,230880.35960820894,27708
2006-09-11,230880.34375,234378.53077651517,228081.79412878788,234378.53077651517,15730
2006-09-12,226332.6875,230880.33037094283,225982.8688176198,229481.05564142196,26621
2006-09-13,224233.8125,229481.09360374414,222834.53753900155,229481.09360374414,33472
2006-09-14,230880.34375,230880.34375,223534.1509943182,223883.9696969697,84297
2006-09-15,225982.890625,228081.8029218266,225633.0719088622,227032.3467734133,102567
2006-09-18,224233.8125,225982.90620124803,221435.2625780031,224583.63124024958,98982
2006-09-19,222134.90625,223884.0,222134.90625,223534.18125,108652
2006-09-20,221785.046875,223184.32161869085,220385.77213130915,220385.77213130915,57494
2006-09-21,222134.90625,224233.81875,222134.90625,223884.0,62098
2006-09-22,220735.59375,222484.68720285263,220035.95636885898,222484.68720285263,112358
2006-09-25,220385.78125,221435.23735119047,218986.5064484127,218986.5064484127,52837
2006-09-26,219336.328125,223534.15258672248,218986.50941985648,220385.78424043063,100154
2006-09-27,224583.671875,225283.30948208724,220735.66503602025,220735.66503602025,79626
2006-09-28,231579.96875,232979.24348564952,223184.3203361027,223184.3203361027,80183
2006-09-29,234378.546875,235078.1843283582,232279.63451492536,232279.63451492536,73500
2006-10-02,240325.40625,240675.2248908297,235078.12663755458,235078.12663755458,66436
2006-10-04,235078.1875,243823.65578497024,234378.5500372024,241025.10593377976,81118
2006-10-09,234728.390625,239975.67208457526,228781.47163748136,235428.02815294336,67407
2006-10-10,237876.703125,239275.97784926472,230880.32950367648,231579.96686580882,38896
2006-10-11,239975.625,243473.8119533528,238226.53152332362,238576.35021865892,39085
2006-10-12,250820.0625,250820.0625,241724.7743200837,244173.50575313807,60739
2006-10-13,246272.3125,254318.1408913352,246272.3125,250819.95463423294,34065
2006-10-16,242774.15625,252569.07898054755,242774.15625,252219.2603115994,20986
2006-10-17,241724.71875,249070.91136034735,241724.71875000003,244873.08701157745,19096
2006-10-18,244523.296875,246972.0280311159,237876.74087982834,241724.74698229614,46702
2006-10-19,244523.296875,246972.0280311159,242074.56571888414,246622.20929452791,16900
2006-10-20,246972.046875,247671.68440155807,241374.9466625354,241374.9466625354,30090
2006-10-23,241374.921875,251169.84624094202,241374.921875,246972.02151268115,39011
2006-10-24,244873.109375,249770.5715625,242074.55955357142,244873.109375,39963
2006-10-25,250470.203125,252569.11544168997,244873.10361382682,244873.10361382682,44304
2006-10-26,248021.421875,252569.06430712272,246971.96592912552,249770.51511812414,39157
2006-10-27,244873.109375,249070.93410714285,243124.01573660714,248021.47792410714,11684
2006-10-30,244873.109375,251169.84647321427,243473.8344642857,246272.38428571427,25178
2006-10-31,249770.5625,255717.4806547619,245572.73792016806,245572.73792016806,35242
2006-11-01,255367.671875,258166.22170376714,250470.20967465753,251869.4845890411,40725
2006-11-02,255717.5,260265.1436388509,255717.5,255717.5,34708
2006-11-03,262364.03125,263063.66866666666,253268.74483333333,257816.38804166668,37139
2006-11-06,263063.65625,265862.2057845745,261664.38148271278,262364.0188663564,51830
2006-11-07,265862.1875,267261.46217105264,264462.91282894736,265162.5501644737,71531
2006-11-08,265862.1875,266561.8248355263,258865.81414473685,265862.1875,47709
2006-11-09,267961.125,267961.125,264462.9379895562,265162.5753916449,52047
2006-11-10,263063.65625,267961.11793550535,261664.38148271278,267961.11793550535,52249
2006-11-13,264462.9375,266212.03100198414,262713.84399801586,263063.66269841266,20616
