Date,Close,High,Low,Open,Volume
2004-07-23,26132.0546875,26969.876313599572,23538.797669994634,24775.581657899354,3165339
2004-07-26,26770.396484375,27289.047914063573,26132.056006947223,26331.537197921905,1136418
2004-07-27,26570.916015625,26730.501972205642,25733.094324449692,26690.605066617478,572591
2004-07-28,26969.876953125,27049.67075999566,26650.70672295815,26929.9817154616,512093
2004-07-29,26531.021484375,26810.29651694125,26411.334088443367,26570.918393533655,202336
2004-07-30,26650.70703125,26929.982026984064,26491.12274720649,26570.914889228246,192502
2004-08-02,25892.6796875,26331.537310049916,25334.131350929227,25972.471831075258,219545
2004-08-03,25374.029296875,25653.302643734918,24536.207590523205,25533.61359057437,373889
2004-08-04,25374.029296875,25573.510496885232,24815.48093738312,25014.962137393355,252252
2004-08-05,26929.982421875,26969.877660584913,25772.99051539205,25932.574801775645,498519
2004-08-06,27528.4296875,27608.22184139617,26570.918843429325,26610.81575326351,658635
2004-08-09,27249.154296875,27408.738592842503,26491.12472659918,27049.673094029586,243166
2004-08-10,27648.1171875,27648.1171875,27129.465717850617,27129.465717850617,216231
2004-08-11,28326.353515625,28845.004965022526,27807.70040045544,27807.70040045544,948832
2004-08-12,28086.9765625,28286.45610346085,27767.80629857286,28007.182747189137,414613
2004-08-13,27927.388671875,28206.66367466098,27408.7372369793,27688.010573993295,415681
2004-08-16,27488.529296875,27927.3885863908,27129.463816923515,27847.596442598468,177431
2004-08-17,27847.59765625,27967.286710040768,27488.530494877697,27727.908602459232,145151
2004-08-18,28805.10546875,29004.588326674813,27767.804269018474,27927.388556431946,629989
2004-08-19,30241.376953125,30760.02843566472,28685.419173961564,28845.006808238617,1157581
2004-08-20,29443.443359375,30001.99331349424,29243.9638505453,30001.99331349424,652542
2004-08-23,28845.005859375,29802.51497581841,28725.316803376554,29443.447807823068,354329
2004-08-24,29204.068359375,29563.135510938533,28086.97499656937,28884.89977901454,707589
2004-08-25,28924.794921875,29443.446361883063,28605.62634258266,29044.48397199563,391525
2004-08-26,29443.443359375,29642.926199748374,29084.379577172804,29084.379577172804,497984
2004-08-27,29243.966796875,29722.71966522684,29004.58869692708,29682.824425750186,393983
2004-08-30,27608.216796875,29403.549093246264,27289.046573836287,29044.481967663254,1125195
2004-08-31,27328.947265625,27727.909683297807,27049.673906408458,27209.258207168732,484837
2004-09-01,27847.59765625,27927.389803519825,27209.257146547276,27328.946200338043,431073
2004-09-02,27528.4296875,27767.807814960714,27448.637533603825,27568.326597334184,251397
2004-09-03,26730.50390625,27727.90996039971,26650.71008930031,27608.220900747318,479813
2004-09-06,26411.33203125,26650.708470240264,26012.36796805549,26411.33203125,354329
2004-09-07,26251.74609375,26650.708491490597,26171.95394735629,26570.916345096884,308688
2004-09-08,26451.228515625,26810.295689656665,26012.369191510334,26012.369191510334,275767
2004-09-09,26411.33203125,26650.708470240264,26132.057020436638,26371.43512519894,255886
2004-09-10,28326.353515625,28326.353515625,26491.12415683773,26610.813209125165,826874
2004-09-13,28206.666015625,28525.834618260138,27887.495747217738,28326.35507449924,748633
2004-09-14,28246.560546875,28605.62771445711,27688.012174782416,28366.249602735705,419636
2004-09-15,28126.87109375,28286.455388795577,27847.59774453421,28206.664907044847,252466
2004-09-16,27488.529296875,27927.3885863908,27289.048104508176,27608.218345449488,312750
2004-09-17,26929.982421875,27767.80408981879,26850.18861291123,27767.80408981879,293938
2004-09-20,27368.84375,27648.11878766291,27049.675133994726,27169.362532110605,197205
2004-09-21,27328.947265625,27528.428474461405,27129.466056788595,27129.466056788595,170804
2004-09-22,27129.46484375,27688.01153720881,26969.878884353166,27328.946043667012,363200
2004-09-23,27129.46484375,27568.32414987624,26770.397684436153,26770.397684436153,429470
2004-09-24,27807.701171875,28485.938598394918,27209.257559608304,27209.257559608304,396442
2004-09-27,27807.701171875,27807.701171875,27807.701171875,27807.701171875,0
2004-09-28,27807.701171875,27807.701171875,27807.701171875,27807.701171875,0
2004-09-29,27807.701171875,27807.701171875,27807.701171875,27807.701171875,0
2004-09-30,28007.1796875,28406.142057380617,27927.38754667826,27927.38754667826,245946
2004-10-01,28326.353515625,28326.353515625,27568.323961652608,27927.389452742875,257169
2004-10-04,29603.037109375,29603.037109375,28765.213670050172,28765.213670050172,781554
2004-10-05,29922.205078125,30241.377015796264,29164.175474143067,29363.658351630645,500229
2004-10-06,30321.16796875,30321.167968749996,29523.24310959369,29922.205539171846,450526
2004-10-07,29443.443359375,30281.266624782023,28924.79197225664,30281.266624782023,378592
