날짜,종가
2017- 06- 04,"6,380"
2017- 06- 05,"6,390"
2017- 06- 07,"6,425"
2017- 06- 08,"6,400"
2017- 06- 09,"6,355"
2017- 06- 11,"6,355"
2017- 06- 12,"6,415"
2017- 06- 13,"6,375"
2017- 06- 14,"6,380"
2017- 06- 15,"6,405"
2017- 06- 16,"6,405"
2017- 06- 18,"6,405"
2017- 06- 19,"6,370"
2017- 06- 20,"6,360"
2017- 06- 21,"6,390"
2017- 06- 22,"6,355"
2017- 06- 23,"6,330"
2017- 06- 25,"6,330"
2017- 06- 26,"6,300"
2017- 06- 27,"6,295"
2017- 06- 28,"6,315"
2017- 06- 29,"6,275"
2017- 06- 30,"6,295"
2017- 07- 02,"6,295"
2017- 07- 03,"6,285"
2017- 07- 04,"6,325"
2017- 07- 05,"6,295"
2017- 07- 06,"6,300"
2017- 07- 07,"6,320"
2017- 07- 09,"6,320"
2017- 07- 10,"6,300"
2017- 07- 11,"6,260"
2017- 07- 12,"6,265"
2017- 07- 13,"6,195"
2017- 07- 14,"6,185"
2017- 07- 17,"6,160"
2017- 07- 18,"6,160"
2017- 07- 19,"6,160"
2017- 07- 20,"6,130"
2017- 07- 21,"6,100"
2017- 07- 23,"6,100"
2017- 07- 24,"6,100"
2017- 07- 25,"6,135"
2017- 07- 26,"6,145"
2017- 07- 27,"6,130"
2017- 07- 28,"6,250"
2017- 07- 30,"6,250"
2017- 07- 31,"6,245"
2017- 08- 01,"6,190"
2017- 08- 02,"6,175"
2017- 08- 03,"6,280"
2017- 08- 04,"6,250"
2017- 08- 06,"6,250"
2017- 08- 07,"6,250"
2017- 08- 08,"6,260"
2017- 08- 09,"6,340"
2017- 08- 10,"6,365"
2017- 08- 11,"6,475"
2017- 08- 13,"6,475"
2017- 08- 14,"6,425"
2017- 08- 15,"6,425"
2017- 08- 16,"6,385"
2017- 08- 17,"6,345"
2017- 08- 18,"6,355"
2017- 08- 20,"6,355"
2017- 08- 21,"6,365"
2017- 08- 22,"6,340"
2017- 08- 23,"6,340"
2017- 08- 24,"6,310"
2017- 08- 25,"6,305"
2017- 08- 27,"6,305"
2017- 08- 28,"6,345"
2017- 08- 29,"6,360"
2017- 08- 30,"6,335"
2017- 08- 31,"6,375"
2017- 09- 01,"6,380"
2017- 09- 04,"6,445"
2017- 09- 05,"6,450"
2017- 09- 06,"6,470"
2017- 09- 07,"6,390"
2017- 09- 08,"6,385"
2017- 09- 10,"6,385"
2017- 09- 11,"6,325"
2017- 09- 12,"6,320"
2017- 09- 13,"6,320"
2017- 09- 14,"6,280"
2017- 09- 15,"6,250"
2017- 09- 17,"6,250"
2017- 09- 18,"6,145"
2017- 09- 19,"6,150"
2017- 09- 20,"6,155"
2017- 09- 21,"6,150"
2017- 09- 22,"6,205"
2017- 09- 24,"6,205"
2017- 09- 25,"6,205"
2017- 09- 26,"6,235"
2017- 09- 27,"6,240"
2017- 09- 28,"6,240"
2017- 09- 29,"6,200"
2017- 10- 09,"6,200"
2017- 10- 10,"6,080"
2017- 10- 11,"6,020"
2017- 10- 12,"5,980"
2017- 10- 13,"5,985"
2017- 10- 15,"5,985"
2017- 10- 16,"5,975"
2017- 10- 17,"5,970"
2017- 10- 18,"5,975"
2017- 10- 19,"6,005"
2017- 10- 20,"5,965"
2017- 10- 22,"5,965"
2017- 10- 23,"5,950"
2017- 10- 24,"5,955"
2017- 10- 25,"5,950"
2017- 10- 26,"6,000"
2017- 10- 27,"5,955"
2017- 10- 29,"5,955"
2017- 10- 30,"5,940"
2017- 10- 31,"5,875"
2017- 11- 01,"5,785"
2017- 11- 02,"5,800"
2017- 11- 03,"5,790"
2017- 11- 05,"5,790"
2017- 11- 06,"5,815"
2017- 11- 07,"5,815"
2017- 11- 08,"5,795"
2017- 11- 09,"5,815"
2017- 11- 10,"5,835"
2017- 11- 12,"5,835"
2017- 11- 13,"5,860"
2017- 11- 14,"5,865"
2017- 11- 15,"5,890"
2017- 11- 16,"5,860"
2017- 11- 17,"5,860"
2017- 11- 19,"5,860"
2017- 11- 20,"5,890"
2017- 11- 21,"5,870"
2017- 11- 22,"5,840"
2017- 11- 23,"5,850"
2017- 11- 24,"5,840"
2017- 11- 26,"5,840"
2017- 11- 27,"5,940"
2017- 11- 28,"5,920"
2017- 11- 29,"5,925"
2017- 11- 30,"6,025"
2017- 12- 01,"6,020"
2017- 12- 03,"6,020"
2017- 12- 04,"5,970"
2017- 12- 05,"5,950"
2017- 12- 06,"6,035"
2017- 12- 07,"6,045"
2017- 12- 08,"6,035"
2017- 12- 10,"6,035"
2017- 12- 11,"6,025"
2017- 12- 12,"6,035"
2017- 12- 13,"6,000"
2017- 12- 14,"5,975"
2017- 12- 15,"6,000"
2017- 12- 17,"6,000"
2017- 12- 18,"6,005"
2017- 12- 19,"6,000"
2017- 12- 20,"6,000"
2017- 12- 21,"6,115"
2017- 12- 22,"6,085"
2017- 12- 25,"6,085"
2017- 12- 26,"6,105"
2017- 12- 27,"6,045"
2017- 12- 28,"5,965"
2018- 01- 01,"5,965"
2018- 01- 02,"5,940"
2018- 01- 03,"5,925"
2018- 01- 04,"5,975"
2018- 01- 05,"5,900"
2018- 01- 08,"5,855"
2018- 01- 09,"5,875"
2018- 01- 10,"5,925"
2018- 01- 11,"5,945"
2018- 01- 12,"5,935"
2018- 01- 15,"5,915"
2018- 01- 16,"5,875"
2018- 01- 17,"5,885"
2018- 01- 18,"5,895"
2018- 01- 19,"5,885"
2018- 01- 21,"5,885"
2018- 01- 22,"5,950"
2018- 01- 23,"5,870"
2018- 01- 24,"5,870"
2018- 01- 25,"5,820"
2018- 01- 26,"5,800"
2018- 01- 29,"5,750"
2018- 01- 30,"5,825"
2018- 01- 31,"5,820"
2018- 02- 01,"5,825"
2018- 02- 02,"5,940"
2018- 02- 05,"6,005"
2018- 02- 06,"6,095"
2018- 02- 07,"6,240"
2018- 02- 08,"6,180"
2018- 02- 09,"6,345"
2018- 02- 11,"6,345"
2018- 02- 12,"6,275"
2018- 02- 13,"6,225"
2018- 02- 14,"6,155"
2018- 02- 18,"6,155"
2018- 02- 19,"6,125"
2018- 02- 20,"6,210"
2018- 02- 21,"6,165"
2018- 02- 22,"6,205"
2018- 02- 23,"6,115"
2018- 02- 25,"6,115"
2018- 02- 26,"6,110"
2018- 02- 27,"6,125"
2018- 02- 28,"6,190"
2018- 03- 02,"6,275"
2018- 03- 04,"6,275"
2018- 03- 05,"6,360"
2018- 03- 06,"6,225"
2018- 03- 07,"6,235"
2018- 03- 08,"6,155"
2018- 03- 09,"6,105"
2018- 03- 11,"6,105"
2018- 03- 12,"6,035"
2018- 03- 13,"6,010"
2018- 03- 14,"6,015"
2018- 03- 15,"5,995"
2018- 03- 16,"6,010"
2018- 03- 18,"6,010"
2018- 03- 19,"6,060"
2018- 03- 20,"6,030"
2018- 03- 21,"6,025"
2018- 03- 22,"6,005"
2018- 03- 23,"6,210"
2018- 03- 25,"6,210"
2018- 03- 26,"6,155"
2018- 03- 27,"6,130"
2018- 03- 28,"6,210"
2018- 03- 29,"6,150"
2018- 03- 30,"6,135"
2018- 04- 01,"6,135"
2018- 04- 02,"6,160"
2018- 04- 03,"6,170"
2018- 04- 04,"6,275"
2018- 04- 05,"6,175"
2018- 04- 06,"6,210"
2018- 04- 08,"6,210"
2018- 04- 09,"6,170"
2018- 04- 10,"6,160"
2018- 04- 11,"6,185"
2018- 04- 12,"6,185"
2018- 04- 13,"6,145"
2018- 04- 15,"6,145"
2018- 04- 16,"6,140"
2018- 04- 17,"6,145"
2018- 04- 18,"6,075"
2018- 04- 19,"6,050"
2018- 04- 20,"6,095"
2018- 04- 22,"6,095"
2018- 04- 23,"6,090"
2018- 04- 24,"6,130"
2018- 04- 25,"6,165"
2018- 04- 26,"6,085"
2018- 04- 27,"6,030"
2018- 04- 29,"6,030"
2018- 04- 30,"6,000"
2018- 05- 02,"6,035"
2018- 05- 03,"6,060"
2018- 05- 04,"6,110"
2018- 05- 07,"6,110"
2018- 05- 08,"6,140"
2018- 05- 09,"6,150"
2018- 05- 10,"6,115"
2018- 05- 11,"6,075"
2018- 05- 14,"6,090"
2018- 05- 15,"6,145"
2018- 05- 16,"6,120"
2018- 05- 17,"6,170"
2018- 05- 18,"6,135"
2018- 05- 20,"6,135"
2018- 05- 21,"6,135"
2018- 05- 22,"6,135"
2018- 05- 23,"6,090"
2018- 05- 24,"6,115"
2018- 05- 25,"6,095"
2018- 05- 27,"6,095"
2018- 05- 28,"6,065"
2018- 05- 29,"6,130"
2018- 05- 30,"6,260"
2018- 05- 31,"6,230"
2018- 06- 01,"6,190"
2018- 06- 03,"6,190"
2018- 06- 04,"6,155"
2018- 06- 05,"6,140"
2018- 06- 06,"6,140"
2018- 06- 07,"6,095"
2018- 06- 08,"6,150"
2018- 06- 10,"6,150"
2018- 06- 11,"6,100"
2018- 06- 12,"6,110"
2018- 06- 14,"6,220"
2018- 06- 15,"6,255"
2018- 06- 17,"6,255"
2018- 06- 18,"6,320"
2018- 06- 19,"6,415"
2018- 06- 20,"6,355"
2018- 06- 21,"6,425"
2018- 06- 22,"6,365"
2018- 06- 24,"6,365"
2018- 06- 25,"6,365"
2018- 06- 26,"6,375"
2018- 06- 27,"6,400"
2018- 06- 28,"6,460"
2018- 06- 29,"6,445"
2018- 07- 01,"6,445"
2018- 07- 02,"6,585"
2018- 07- 03,"6,575"
2018- 07- 04,"6,590"
2018- 07- 05,"6,615"
2018- 07- 06,"6,565"
2018- 07- 08,"6,565"
2018- 07- 09,"6,520"
2018- 07- 10,"6,515"
2018- 07- 11,"6,545"
2018- 07- 12,"6,525"
2018- 07- 13,"6,455"
2018- 07- 15,"6,455"
2018- 07- 16,"6,485"
2018- 07- 17,"6,485"
2018- 07- 18,"6,505"
2018- 07- 19,"6,520"
2018- 07- 20,"6,490"
2018- 07- 22,"6,490"
2018- 07- 23,"6,535"
2018- 07- 24,"6,525"
2018- 07- 25,"6,530"
2018- 07- 26,"6,500"
2018- 07- 27,"6,470"
2018- 07- 29,"6,470"
2018- 07- 30,"6,495"
2018- 07- 31,"6,480"
2018- 08- 01,"6,455"
2018- 08- 02,"6,570"
2018- 08- 03,"6,520"
2018- 08- 05,"6,520"
2018- 08- 06,"6,525"
2018- 08- 07,"6,490"
2018- 08- 08,"6,490"
2018- 08- 09,"6,490"
2018- 08- 10,"6,565"
2018- 08- 12,"6,565"
2018- 08- 13,"6,645"
2018- 08- 14,"6,620"
2018- 08- 15,"6,620"
2018- 08- 16,"6,680"
2018- 08- 17,"6,680"
2018- 08- 19,"6,680"
2018- 08- 20,"6,675"
2018- 08- 21,"6,605"
2018- 08- 22,"6,585"
2018- 08- 23,"6,555"
2018- 08- 24,"6,530"
2018- 08- 26,"6,530"
2018- 08- 27,"6,495"
2018- 08- 28,"6,490"
2018- 08- 29,"6,470"
2018- 08- 30,"6,475"
2018- 08- 31,"6,445"
2018- 09- 02,"6,445"
2018- 09- 03,"6,485"
2018- 09- 04,"6,450"
2018- 09- 05,"6,545"
2018- 09- 06,"6,560"
2018- 09- 07,"6,580"
2018- 09- 10,"6,585"
2018- 09- 11,"6,590"
2018- 09- 12,"6,590"
2018- 09- 13,"6,590"
2018- 09- 14,"6,485"
2018- 09- 17,"6,530"
2018- 09- 18,"6,500"
2018- 09- 19,"6,505"
2018- 09- 20,"6,445"
2018- 09- 21,"6,415"
2018- 09- 27,"6,370"
2018- 09- 28,"6,405"
2018- 09- 30,"6,405"
2018- 10- 01,"6,410"
2018- 10- 02,"6,490"
2018- 10- 03,"6,490"
2018- 10- 04,"6,595"
2018- 10- 05,"6,600"
2018- 10- 07,"6,600"
2018- 10- 08,"6,630"
2018- 10- 09,"6,630"
2018- 10- 10,"6,675"
2018- 10- 11,"6,940"
2018- 10- 12,"6,880"
2018- 10- 14,"6,880"
2018- 10- 15,"6,930"
2018- 10- 16,"6,950"
2018- 10- 17,"6,850"
2018- 10- 18,"6,915"
2018- 10- 19,"6,890"
2018- 10- 22,"6,875"
2018- 10- 23,"7,075"
2018- 10- 24,"7,100"
2018- 10- 25,"7,205"
2018- 10- 26,"7,325"
2018- 10- 29,"7,380"
2018- 10- 30,"7,325"
2018- 10- 31,"7,300"
2018- 11- 01,"7,335"
2018- 11- 02,"7,060"
2018- 11- 05,"7,115"
2018- 11- 06,"7,075"
2018- 11- 07,"7,115"
2018- 11- 08,"7,055"
2018- 11- 09,"7,095"
2018- 11- 12,"7,080"
2018- 11- 13,"7,135"
2018- 11- 14,"7,150"
2018- 11- 15,"7,080"
2018- 11- 16,"7,090"
2018- 11- 19,"7,060"
2018- 11- 20,"7,130"
2018- 11- 21,"7,165"
2018- 11- 22,"7,175"
2018- 11- 23,"7,235"
2018- 11- 26,"7,130"
2018- 11- 27,"7,085"
2018- 11- 28,"7,040"
2018- 11- 29,"7,025"
2018- 11- 30,"7,090"
2018- 12- 03,"6,965"
2018- 12- 04,"7,050"
2018- 12- 05,"7,085"
2018- 12- 06,"7,190"
2018- 12- 07,"7,165"
2018- 12- 10,"7,235"
2018- 12- 11,"7,245"
2018- 12- 12,"7,145"
2018- 12- 13,"7,120"
2018- 12- 14,"7,240"
2018- 12- 17,"7,210"
2018- 12- 18,"7,240"
2018- 12- 19,"7,190"
2018- 12- 20,"7,270"
2018- 12- 21,"7,270"
2018- 12- 24,"7,265"
2018- 12- 26,"7,375"
2018- 12- 27,"7,280"
2018- 12- 28,"7,240"
2019- 01- 02,"7,325"
2019- 01- 03,"7,415"
2019- 01- 04,"7,345"
2019- 01- 07,"7,240"
2019- 01- 08,"7,290"
2019- 01- 09,"7,145"
2019- 01- 10,"7,145"
2019- 01- 11,"7,095"
2019- 01- 14,"7,165"
2019- 01- 15,"7,015"
2019- 01- 16,"6,990"
2019- 01- 17,"6,980"
2019- 01- 18,"6,920"
2019- 01- 21,"6,920"
2019- 01- 22,"6,955"
2019- 01- 23,"6,910"
2019- 01- 24,"6,860"
2019- 01- 25,"6,725"
2019- 01- 28,"6,735"
2019- 01- 29,"6,715"
2019- 01- 30,"6,635"
2019- 01- 31,"6,645"
2019- 02- 01,"6,665"
2019- 02- 07,"6,655"
2019- 02- 08,"6,750"
2019- 02- 11,"6,740"
2019- 02- 12,"6,700"
2019- 02- 13,"6,670"
2019- 02- 14,"6,610"
2019- 02- 15,"6,695"
2019- 02- 18,"6,640"
2019- 02- 19,"6,670"
2019- 02- 20,"6,595"
2019- 02- 21,"6,595"
2019- 02- 22,"6,590"
2019- 02- 25,"6,580"
2019- 02- 26,"6,600"
2019- 02- 27,"6,580"
2019- 02- 28,"6,695"
2019- 03- 04,"6,725"
2019- 03- 05,"6,780"
2019- 03- 06,"6,800"
2019- 03- 07,"6,820"
2019- 03- 08,"6,915"
2019- 03- 11,"6,905"
2019- 03- 12,"6,835"
2019- 03- 13,"6,885"
2019- 03- 14,"6,870"
2019- 03- 15,"6,795"
2019- 03- 18,"6,790"
2019- 03- 19,"6,795"
2019- 03- 20,"6,790"
2019- 03- 21,"6,740"
2019- 03- 22,"6,725"
2019- 03- 25,"6,870"
2019- 03- 26,"6,865"
2019- 03- 27,"6,855"
2019- 03- 28,"6,910"
2019- 03- 29,"6,870"
2019- 04- 01,"6,770"
2019- 04- 02,"6,750"
2019- 04- 03,"6,640"
2019- 04- 04,"6,630"
2019- 04- 05,"6,615"
2019- 04- 08,"6,640"
2019- 04- 09,"6,625"
2019- 04- 10,"6,595"
2019- 04- 11,"6,615"
2019- 04- 12,"6,590"
2019- 04- 15,"6,565"
2019- 04- 16,"6,545"
2019- 04- 17,"6,545"
2019- 04- 18,"6,650"
2019- 04- 19,"6,645"
2019- 04- 22,"6,650"
2019- 04- 23,"6,635"
2019- 04- 24,"6,715"
2019- 04- 25,"6,720"
2019- 04- 26,"6,760"
2019- 04- 29,"6,630"
2019- 04- 30,"6,670"
2019- 05- 02,"6,645"
2019- 05- 03,"6,705"
2019- 05- 07,"6,765"
2019- 05- 08,"6,790"
2019- 05- 09,"6,995"
2019- 05- 10,"6,985"
2019- 05- 13,"7,070"
2019- 05- 14,"7,080"
2019- 05- 15,"7,050"
2019- 05- 16,"7,145"
2019- 05- 17,"7,200"
2019- 05- 20,"7,180"
2019- 05- 21,"7,145"
2019- 05- 22,"7,130"
2019- 05- 23,"7,145"
2019- 05- 24,"7,190"
2019- 05- 27,"7,190"
2019- 05- 28,"7,180"
2019- 05- 29,"7,280"
2019- 05- 30,"7,215"
2019- 05- 31,"7,235"
2019- 06- 03,"7,105"
2019- 06- 04,"7,120"
2019- 06- 05,"7,110"
2019- 06- 07,"7,110"
2019- 06- 10,"7,000"
2019- 06- 11,"6,965"
2019- 06- 12,"6,995"
2019- 06- 13,"7,045"
2019- 06- 14,"7,045"
2019- 06- 16,"7,045"
2019- 06- 17,"7,045"
2019- 06- 18,"7,010"
2019- 06- 19,"6,920"
2019- 06- 20,"6,895"
2019- 06- 21,"6,920"
2019- 06- 24,"6,905"
2019- 06- 25,"6,920"
2019- 06- 26,"6,910"
2019- 06- 27,"6,830"
2019- 06- 28,"6,840"
2019- 07- 01,"6,840"
2019- 07- 02,"6,880"
2019- 07- 03,"6,975"
2019- 07- 04,"6,915"
2019- 07- 05,"6,920"
2019- 07- 08,"7,075"
2019- 07- 09,"7,095"
2019- 07- 10,"7,055"
2019- 07- 11,"6,970"
2019- 07- 12,"6,955"
2019- 07- 14,"6,955"
2019- 07- 15,"6,965"
2019- 07- 16,"6,930"
2019- 07- 17,"6,995"
2019- 07- 18,"7,015"
2019- 07- 19,"6,910"
2019- 07- 22,"6,915"
2019- 07- 23,"6,880"
2019- 07- 24,"6,955"
2019- 07- 25,"6,965"
2019- 07- 26,"6,985"
2019- 07- 28,"6,985"
2019- 07- 29,"7,090"
2019- 07- 30,"7,065"
2019- 07- 31,"7,125"
2019- 08- 01,"7,145"
2019- 08- 02,"7,230"
2019- 08- 05,"7,385"
2019- 08- 06,"7,490"
2019- 08- 07,"7,535"
2019- 08- 08,"7,505"
2019- 08- 09,"7,450"
2019- 08- 12,"7,440"
2019- 08- 13,"7,515"
2019- 08- 14,"7,460"
2019- 08- 16,"7,490"
2019- 08- 19,"7,440"
2019- 08- 20,"7,370"
2019- 08- 21,"7,350"
2019- 08- 22,"7,410"
2019- 08- 23,"7,420"
2019- 08- 26,"7,525"
2019- 08- 27,"7,505"
2019- 08- 28,"7,435"
2019- 08- 29,"7,470"
2019- 08- 30,"7,335"
2019- 09- 01,"7,335"
2019- 09- 02,"7,335"
2019- 09- 03,"7,355"
2019- 09- 04,"7,250"
2019- 09- 05,"7,190"
2019- 09- 06,"7,155"
2019- 09- 08,"7,155"
2019- 09- 09,"7,095"
2019- 09- 10,"7,065"
2019- 09- 11,"7,005"
2019- 09- 15,"7,005"
2019- 09- 16,"6,990"
2019- 09- 17,"6,985"
2019- 09- 18,"6,950"
2019- 09- 19,"6,905"
2019- 09- 20,"6,870"
2019- 09- 22,"6,870"
2019- 09- 23,"6,860"
2019- 09- 24,"6,825"
2019- 09- 25,"6,920"
2019- 09- 26,"6,910"
2019- 09- 27,"6,980"
2019- 09- 29,"6,980"
2019- 09- 30,"6,925"
2019- 10- 01,"6,905"
2019- 10- 02,"7,055"
2019- 10- 03,"7,055"
2019- 10- 04,"7,075"
2019- 10- 06,"7,075"
2019- 10- 07,"7,075"
2019- 10- 08,"6,970"
2019- 10- 09,"6,970"
2019- 10- 10,"7,025"
2019- 10- 11,"6,975"
2019- 10- 13,"6,975"
2019- 10- 14,"6,900"
2019- 10- 15,"6,895"
2019- 10- 16,"6,855"
2019- 10- 17,"6,880"
2019- 10- 18,"6,945"
2019- 10- 20,"6,945"
2019- 10- 21,"6,910"
2019- 10- 22,"6,810"
2019- 10- 23,"6,855"
2019- 10- 24,"6,840"
2019- 10- 25,"6,835"
2019- 10- 27,"6,835"
2019- 10- 28,"6,810"
2019- 10- 29,"6,825"
2019- 10- 30,"6,880"
2019- 10- 31,"6,860"
2019- 11- 01,"6,800"
2019- 11- 03,"6,800"
2019- 11- 04,"6,695"
2019- 11- 05,"6,655"
2019- 11- 06,"6,650"
2019- 11- 07,"6,655"
2019- 11- 08,"6,685"
2019- 11- 10,"6,685"
2019- 11- 11,"6,735"
2019- 11- 12,"6,670"
2019- 11- 13,"6,730"
2019- 11- 14,"6,680"
2019- 11- 15,"6,580"
2019- 11- 17,"6,580"
2019- 11- 18,"6,595"
2019- 11- 19,"6,620"
2019- 11- 20,"6,700"
2019- 11- 21,"6,805"
2019- 11- 22,"6,770"
2019- 11- 24,"6,770"
2019- 11- 25,"6,700"
2019- 11- 26,"6,695"
2019- 11- 27,"6,690"
2019- 11- 28,"6,720"
2019- 11- 29,"6,835"
2019- 12- 01,"6,835"
2019- 12- 02,"6,815"
2019- 12- 03,"6,850"
2019- 12- 04,"6,895"
2019- 12- 05,"6,910"
2019- 12- 06,"6,840"
2019- 12- 08,"6,840"
2019- 12- 09,"6,805"
2019- 12- 10,"6,770"
2019- 12- 11,"6,745"
2019- 12- 12,"6,630"
2019- 12- 13,"6,510"
2019- 12- 15,"6,510"
2019- 12- 16,"6,510"
2019- 12- 17,"6,425"
2019- 12- 18,"6,435"
2019- 12- 19,"6,420"
2019- 12- 20,"6,410"
2019- 12- 22,"6,410"
2019- 12- 23,"6,410"
2019- 12- 24,"6,460"
2019- 12- 25,"6,460"
2019- 12- 26,"6,435"
2019- 12- 27,"6,330"
2019- 12- 29,"6,330"
2019- 12- 30,"6,350"
2020- 01- 02,"6,425"
2020- 01- 03,"6,430"
2020- 01- 06,"6,480"
2020- 01- 07,"6,410"
2020- 01- 08,"6,455"
2020- 01- 09,"6,345"
2020- 01- 10,"6,285"
2020- 01- 12,"6,285"
2020- 01- 13,"6,220"
2020- 01- 14,"6,200"
2020- 01- 15,"6,235"
2020- 01- 16,"6,165"
2020- 01- 17,"6,150"
2020- 01- 19,"6,150"
2020- 01- 20,"6,110"
2020- 01- 21,"6,185"
2020- 01- 22,"6,095"
2020- 01- 23,"6,175"
2020- 01- 27,"6,175"
2020- 01- 28,"6,370"
2020- 01- 29,"6,350"
2020- 01- 30,"6,480"
2020- 01- 31,"6,545"
2020- 02- 03,"6,545"
2020- 02- 04,"6,420"
2020- 02- 05,"6,395"
2020- 02- 06,"6,190"
2020- 02- 07,"6,250"
2020- 02- 09,"6,250"
2020- 02- 10,"6,285"
2020- 02- 11,"6,220"
2020- 02- 12,"6,170"
2020- 02- 13,"6,190"
2020- 02- 14,"6,145"
2020- 02- 16,"6,145"
2020- 02- 17,"6,145"
2020- 02- 18,"6,255"
2020- 02- 19,"6,245"
2020- 02- 20,"6,270"
2020- 02- 21,"6,375"
2020- 02- 23,"6,375"
2020- 02- 24,"6,615"
2020- 02- 25,"6,540"
2020- 02- 26,"6,635"
2020- 02- 27,"6,710"
2020- 02- 28,"6,930"
2020- 03- 01,"6,930"
2020- 03- 02,"6,855"
2020- 03- 03,"6,830"
2020- 03- 04,"6,670"
2020- 03- 05,"6,610"
2020- 03- 06,"6,750"
2020- 03- 08,"6,750"
2020- 03- 09,"7,050"
2020- 03- 10,"6,990"
2020- 03- 11,"7,205"
2020- 03- 12,"7,470"
2020- 03- 13,"7,625"
2020- 03- 15,"7,625"
2020- 03- 16,"7,935"
2020- 03- 17,"8,085"
2020- 03- 18,"8,575"
2020- 03- 19,"9,180"
2020- 03- 20,"8,465"
2020- 03- 22,"8,465"
2020- 03- 23,"8,945"
2020- 03- 24,"8,090"
2020- 03- 25,"7,695"
2020- 03- 26,"7,785"
2020- 03- 27,"7,610"
2020- 03- 29,"7,610"
2020- 03- 30,"7,635"
2020- 03- 31,"7,500"
2020- 04- 01,"7,855"
2020- 04- 02,"7,620"
2020- 04- 03,"7,630"
2020- 04- 05,"7,630"
2020- 04- 06,"7,305"
2020- 04- 07,"7,180"
2020- 04- 08,"7,295"
2020- 04- 09,"7,180"
2020- 04- 10,"7,130"
2020- 04- 12,"7,130"
2020- 04- 13,"7,260"
2020- 04- 14,"7,115"
2020- 04- 15,"7,115"
2020- 04- 16,"7,120"
2020- 04- 17,"6,890"
2020- 04- 19,"6,890"
2020- 04- 20,"6,975"
2020- 04- 21,"7,055"
2020- 04- 22,"6,995"
2020- 04- 23,"6,930"
2020- 04- 24,"7,030"
2020- 04- 26,"7,030"
2020- 04- 27,"6,880"
2020- 04- 28,"6,845"
2020- 04- 29,"6,790"
2020- 05- 03,"6,790"
2020- 05- 04,"7,010"
2020- 05- 05,"7,010"
2020- 05- 06,"6,875"
2020- 05- 07,"6,885"
2020- 05- 08,"6,825"
2020- 05- 10,"6,825"
2020- 05- 11,"6,880"
2020- 05- 12,"6,920"
2020- 05- 13,"6,845"
2020- 05- 14,"6,920"
2020- 05- 15,"6,895"
2020- 05- 17,"6,895"
2020- 05- 18,"6,845"
2020- 05- 19,"6,670"
2020- 05- 20,"6,655"
2020- 05- 21,"6,635"
2020- 05- 22,"6,750"
2020- 05- 24,"6,750"
2020- 05- 25,"6,650"
2020- 05- 26,"6,535"
2020- 05- 27,"6,530"
2020- 05- 28,"6,510"
2020- 05- 29,"6,510"
2020- 05- 31,"6,510"
2020- 06- 01,"6,390"
2020- 06- 02,"6,320"
2020- 06- 03,"6,095"
2020- 06- 04,"6,080"
2020- 06- 05,"5,980"
2020- 06- 07,"5,980"
2020- 06- 08,"5,995"
2020- 06- 09,"5,995"
2020- 06- 10,"5,970"
2020- 06- 11,"6,070"
2020- 06- 12,"6,185"
2020- 06- 14,"6,185"
2020- 06- 15,"6,500"
2020- 06- 16,"6,115"
2020- 06- 17,"6,115"
2020- 06- 18,"6,140"
2020- 06- 19,"6,125"
2020- 06- 21,"6,125"
2020- 06- 22,"6,150"
2020- 06- 23,"6,145"
2020- 06- 24,"6,035"
2020- 06- 25,"6,200"
2020- 06- 26,"6,110"
2020- 06- 28,"6,110"
2020- 06- 29,"6,220"
2020- 06- 30,"6,160"
2020- 07- 01,"6,160"
2020- 07- 02,"6,085"
2020- 07- 03,"6,025"
2020- 07- 05,"6,025"
2020- 07- 06,"5,925"
2020- 07- 07,"6,005"
2020- 07- 08,"6,020"
2020- 07- 09,"5,985"
2020- 07- 10,"6,055"
2020- 07- 13,"5,935"
2020- 07- 14,"5,940"
2020- 07- 15,"5,880"
2020- 07- 16,"5,950"
2020- 07- 17,"5,895"
2020- 07- 19,"5,895"
2020- 07- 20,"5,910"
2020- 07- 21,"5,825"
2020- 07- 22,"5,845"
2020- 07- 23,"5,885"
2020- 07- 24,"5,920"
2020- 07- 26,"5,920"
2020- 07- 27,"5,855"
2020- 07- 28,"5,735"
2020- 07- 29,"5,700"
2020- 07- 30,"5,695"
2020- 07- 31,"5,740"
2020- 08- 02,"5,740"
2020- 08- 03,"5,745"
2020- 08- 04,"5,675"
2020- 08- 05,"5,610"
2020- 08- 06,"5,525"
2020- 08- 07,"5,495"
2020- 08- 09,"5,495"
2020- 08- 10,"5,415"
2020- 08- 11,"5,345"
2020- 08- 12,"5,320"
2020- 08- 13,"5,320"
2020- 08- 14,"5,375"
2020- 08- 17,"5,375"
2020- 08- 18,"5,490"
2020- 08- 19,"5,465"
2020- 08- 20,"5,685"
2020- 08- 21,"5,590"
2020- 08- 23,"5,590"
2020- 08- 24,"5,530"
2020- 08- 25,"5,455"
2020- 08- 26,"5,455"
2020- 08- 27,"5,505"
2020- 08- 28,"5,475"
2020- 08- 30,"5,475"
2020- 08- 31,"5,565"
2020- 09- 01,"5,520"
2020- 09- 02,"5,490"
2020- 09- 03,"5,405"
2020- 09- 04,"5,480"
2020- 09- 06,"5,480"
2020- 09- 07,"5,455"
2020- 09- 08,"5,385"
2020- 09- 09,"5,445"
2020- 09- 10,"5,390"
2020- 09- 11,"5,400"
2020- 09- 13,"5,400"
