날짜,종가
2014- 11- 14,"8,140"
2014- 11- 17,"8,120"
2014- 11- 18,"8,055"
2014- 11- 19,"8,070"
2014- 11- 20,"8,095"
2014- 11- 21,"8,075"
2014- 11- 24,"7,995"
2014- 11- 25,"8,000"
2014- 11- 26,"8,015"
2014- 11- 27,"7,965"
2014- 11- 28,"7,975"
2014- 12- 01,"8,050"
2014- 12- 02,"8,050"
2014- 12- 03,"8,035"
2014- 12- 04,"7,940"
2014- 12- 05,"7,940"
2014- 12- 08,"7,955"
2014- 12- 09,"7,980"
2014- 12- 10,"8,110"
2014- 12- 11,"8,220"
2014- 12- 12,"8,200"
2014- 12- 15,"8,195"
2014- 12- 16,"8,250"
2014- 12- 17,"8,270"
2014- 12- 18,"8,280"
2014- 12- 19,"8,150"
2014- 12- 22,"8,090"
2014- 12- 23,"8,105"
2014- 12- 24,"8,085"
2014- 12- 26,"8,075"
2014- 12- 29,"8,110"
2014- 12- 30,"8,220"
2015- 01- 02,"8,180"
2015- 01- 05,"8,190"
2015- 01- 06,"8,355"
2015- 01- 07,"8,340"
2015- 01- 08,"8,230"
2015- 01- 09,"8,135"
2015- 01- 12,"8,160"
2015- 01- 13,"8,130"
2015- 01- 14,"8,165"
2015- 01- 15,"8,145"
2015- 01- 16,"8,265"
2015- 01- 19,"8,165"
2015- 01- 20,"8,095"
2015- 01- 21,"8,080"
2015- 01- 22,"8,055"
2015- 01- 23,"8,010"
2015- 01- 26,"8,010"
2015- 01- 27,"7,960"
2015- 01- 28,"7,950"
2015- 01- 29,"7,990"
2015- 01- 30,"8,000"
2015- 02- 02,"8,010"
2015- 02- 03,"8,025"
2015- 02- 04,"7,965"
2015- 02- 05,"8,040"
2015- 02- 06,"8,025"
2015- 02- 09,"8,040"
2015- 02- 10,"8,085"
2015- 02- 11,"8,065"
2015- 02- 12,"8,100"
2015- 02- 13,"8,035"
2015- 02- 16,"8,025"
2015- 02- 17,"8,010"
2015- 02- 23,"7,995"
2015- 02- 24,"7,980"
2015- 02- 25,"7,955"
2015- 02- 26,"7,955"
2015- 02- 27,"7,985"
2015- 03- 02,"7,935"
2015- 03- 03,"7,910"
2015- 03- 04,"7,915"
2015- 03- 05,"7,905"
2015- 03- 06,"7,865"
2015- 03- 09,"7,950"
2015- 03- 10,"7,980"
2015- 03- 11,"7,975"
2015- 03- 12,"7,990"
2015- 03- 13,"7,965"
2015- 03- 16,"7,955"
2015- 03- 17,"7,780"
2015- 03- 18,"7,775"
2015- 03- 19,"7,755"
2015- 03- 20,"7,775"
2015- 03- 23,"7,775"
2015- 03- 24,"7,755"
2015- 03- 25,"7,760"
2015- 03- 26,"7,830"
2015- 03- 27,"7,845"
2015- 03- 30,"7,830"
2015- 03- 31,"7,825"
2015- 04- 01,"7,890"
2015- 04- 02,"7,875"
2015- 04- 03,"7,825"
2015- 04- 06,"7,830"
2015- 04- 07,"7,845"
2015- 04- 08,"7,785"
2015- 04- 09,"7,795"
2015- 04- 10,"7,690"
2015- 04- 13,"7,645"
2015- 04- 14,"7,595"
2015- 04- 15,"7,570"
2015- 04- 16,"7,515"
2015- 04- 17,"7,505"
2015- 04- 20,"7,520"
2015- 04- 21,"7,525"
2015- 04- 22,"7,490"
2015- 04- 23,"7,380"
2015- 04- 24,"7,425"
2015- 04- 27,"7,450"
2015- 04- 28,"7,475"
2015- 04- 29,"7,505"
2015- 04- 30,"7,540"
2015- 05- 04,"7,515"
2015- 05- 06,"7,630"
2015- 05- 07,"7,665"
2015- 05- 08,"7,695"
2015- 05- 11,"7,690"
2015- 05- 12,"7,700"
2015- 05- 13,"7,645"
2015- 05- 14,"7,635"
2015- 05- 15,"7,720"
2015- 05- 18,"7,700"
2015- 05- 19,"7,665"
2015- 05- 20,"7,595"
2015- 05- 21,"7,685"
2015- 05- 22,"7,580"
2015- 05- 25,"7,580"
2015- 05- 26,"7,600"
2015- 05- 27,"7,755"
2015- 05- 28,"7,755"
2015- 05- 29,"7,725"
2015- 06- 01,"7,780"
2015- 06- 02,"7,860"
2015- 06- 03,"7,930"
2015- 06- 04,"7,905"
2015- 06- 05,"7,915"
2015- 06- 08,"7,930"
2015- 06- 09,"7,940"
2015- 06- 10,"7,980"
2015- 06- 11,"7,960"
2015- 06- 12,"8,025"
2015- 06- 15,"8,045"
2015- 06- 16,"8,120"
2015- 06- 17,"8,105"
2015- 06- 18,"8,095"
2015- 06- 19,"8,060"
2015- 06- 21,"8,060"
2015- 06- 22,"8,030"
2015- 06- 23,"7,920"
2015- 06- 24,"7,925"
2015- 06- 25,"7,930"
2015- 06- 26,"7,925"
2015- 06- 28,"7,925"
2015- 06- 29,"8,045"
2015- 06- 30,"8,005"
2015- 07- 01,"7,910"
2015- 07- 02,"7,900"
2015- 07- 03,"7,920"
2015- 07- 05,"7,920"
2015- 07- 06,"8,120"
2015- 07- 07,"8,100"
2015- 07- 08,"8,210"
2015- 07- 09,"8,150"
2015- 07- 10,"8,145"
2015- 07- 12,"8,145"
2015- 07- 13,"8,065"
2015- 07- 14,"8,110"
2015- 07- 15,"8,085"
2015- 07- 16,"8,030"
2015- 07- 17,"8,070"
2015- 07- 19,"8,070"
2015- 07- 20,"8,085"
