Unnamed: 0,Return,ETF_Ratio,Cash_Ratio,Fees,Cumulative
2016-01-04,-0.0021031593158172,0.0,0.0,0.00015,0.9978968406841828
2016-01-05,0.0088635425361194,0.0,0.0,0.0,1.0067417417782465
2016-01-06,0.004659446306354,0.0,0.0,0.0,1.0114326008684271
2016-01-07,-0.0200271433741235,0.0,0.0,0.0,0.9911764951575728
2016-01-08,0.0190789742462051,0.0,0.0,0.0,1.010087125982128
2016-01-11,-0.0088134244974942,0.0,0.0,0.0,1.0011847993613936
2016-01-12,0.0045350614813211,0.0,0.0,0.0,1.0057252339806615
2016-01-13,0.0160755363578387,0.0,0.0,0.0,1.0218928065455135
2016-01-14,-0.0095373143864061,0.0,0.0,0.0,1.0121466935802823
2016-01-15,-0.0132981056775128,0.0,0.0,0.0,0.9986870598879066
2016-01-18,-0.0066288738972055,0.0,0.0,0.0,0.9920668893051388
2016-01-19,0.0001361720183942,0.0,0.0,0.0,0.9922019810558376
2016-01-20,-0.0238619549682715,0.0,0.0,0.0,0.9685261020644532
2016-01-21,0.0057133675570632,0.0,0.0,0.0,0.9740596476741572
2016-01-22,0.0280231237401682,0.0,0.0,0.0,1.001355841711235
2016-01-25,0.0126491888882167,0.0,0.0,0.0,1.0140221808973595
2016-01-26,-0.0156231964193915,0.0,0.0,0.0,0.9981799131915804
2016-01-27,0.0135662124186951,0.0,0.0,0.0,1.011721433926012
2016-01-28,0.0066442674128727,0.0,0.0,0.0,1.0184435816803514
2016-01-29,0.0084345889412228,0.0,0.0,0.0,1.0270337346516518
2016-02-01,0.0102810765411245,0.0,0.0,0.0002333333333333,1.0375927470879225
2016-02-02,-0.0110625442025061,0.0,0.0,0.0,1.0261143314590626
2016-02-03,-0.0128250524119277,0.0,0.0,0.0,1.01295436137747
2016-02-04,0.0254948143847866,0.0,0.0,0.0,1.0387794448010486
2016-02-05,0.0036381792690242,0.0,0.0,0.0,1.0425587106422125
2016-02-11,-0.0265434182073727,0.0,0.0,0.0,1.0148856387798966
2016-02-12,-0.0069445419377213,0.0,0.0,0.0,1.0078377228993984
2016-02-15,0.0141840228466044,0.0,0.0,0.0,1.0221329161866737
2016-02-16,0.0133370855161445,0.0,0.0,0.0,1.0357651902987213
2016-02-17,-0.0005413350893038,0.0,0.0,0.0,1.0352044942569332
2016-02-18,0.0156637536397128,0.0,0.0,0.0,1.0514196824216973
2016-02-19,0.0004378244213444,0.0,0.0,0.0,1.0518800196357438
2016-02-22,0.0019535170823689,0.0,0.0,0.0,1.0539348852227048
2016-02-23,-0.0007044262952644,0.0,0.0,0.0,1.0531924657760574
2016-02-24,0.0046989583849616,0.0,0.0,0.0,1.0581413733440943
2016-02-25,-0.0019222320502854,0.0,0.0,0.0,1.0561073800825191
2016-02-26,0.0037247974145184,0.0,0.0,0.0,1.0600411661213045
2016-02-29,-0.0049844887110574,0.0,0.0,0.0,1.054757402895517
2016-03-02,0.0084564567148056,0.3,0.0,0.0001563157894736,1.0636769132177233
2016-03-03,0.0010448885404148,0.3,0.0,0.0,1.0647883370350484
2016-03-04,-0.0001546116924572,0.3,0.0,0.0,1.064623708308151
2016-03-07,0.0048871758032832,0.3,0.0,0.0,1.069826711534996
2016-03-08,0.0002474310944401,0.3,0.0,0.0,1.0700914199290923
2016-03-09,0.000678549590949,0.3,0.0,0.0,1.0708175300243634
2016-03-10,0.0027046028094214,0.3,0.0,0.0,1.0737136661244449
2016-03-11,-0.0020070165890991,0.3,0.0,0.0,1.0715587049845905
2016-03-14,0.0015949185085283,0.0,0.3,4.5e-05,1.073267753796145
2016-03-15,-0.0030147373269521,0.0,0.3,0.0,1.0700321334369618
2016-03-16,-0.0019713309550376,0.0,0.3,0.0,1.0679227459694325
2016-03-17,0.0074573236308223,0.0,0.3,0.0,1.0758865914988431
2016-03-18,0.0005025203680396,0.0,0.3,0.0,1.076427246424772
2016-03-21,0.0001447305206016,0.0,0.3,0.0,1.0765830383005368
2016-03-22,0.0054003212810453,0.0,0.3,0.0,1.0823969325930838
2016-03-23,-0.0039363934258092,0.0,0.3,0.0,1.0781361924235082
2016-03-24,-0.0054085155331893,0.0,0.3,0.0,1.072305076079892
2016-03-25,-0.0029628246741726,0.0,0.3,0.0,1.0691280241422418
2016-03-28,0.0016006655417052,0.0,0.3,0.0,1.070839340530158
2016-03-29,0.0083302223959671,0.0,0.3,0.0,1.079759670387125
2016-03-30,0.0006333679917716,0.0,0.3,0.0,1.080443555601154
2016-03-31,-0.0041597153295057,0.0,0.3,0.0,1.075949217980254
2016-04-01,-0.0064501567649359,0.0,0.0,0.0002226315789473,1.069009176853171
2016-04-04,0.0018352596919717,0.0,0.0,0.0,1.0709710863057975
2016-04-05,-0.0090729094044956,0.0,0.0,0.0,1.0612542626649109
2016-04-06,0.0042651314805411,0.0,0.0,0.0,1.0657806516294617
2016-04-07,0.005624794547954,0.0,0.0,0.0,1.0717754488280615
2016-04-08,0.0022130753548464,0.0,0.0,0.0,1.0741473686597929
2016-04-11,-0.0092467291998217,0.0,0.0,0.0,1.0642150188210944
2016-04-12,0.0058749904403329,0.0,0.0,0.0,1.0704672718831272
