date,stock1,stock2,stock3,stock4,stock5,stock6,stock7,stock8,stock9,stock10,stock11,stock12,stock13,stock14,stock15,stock16,stock17,stock18,stock19,stock20,stock21,stock22,stock23,stock24,stock25,stock26,stock27,stock28,stock29,stock30,stock31,stock32,stock33,stock34,stock35,stock36,stock37,stock38,stock39,stock40,stock41,stock42,stock43,stock44,stock45,stock46,stock47,stock48,stock49,stock50
2016-01-04,005930,015760,005380,028260,090430,012330,051910,000660,032830,035420,000270,018260,055550,017670,034730,051900,000810,033780,005490,105560,003550,002790,096770,010950,010130,066570,034220,011170,035250,006400,030200,023530,086280,001800,086790,024110,009540,004020,021240,088350,000030,161390,139480,009150,036570,002380,029780,000720,010140,042660
2016-07-01,005930,015760,005380,090430,012330,035420,000660,028260,032830,033780,055550,051900,017670,005490,000270,051910,034730,002790,096770,105560,000810,003550,018260,010130,011170,034220,008930,066570,035250,010950,021240,009540,030200,006400,047810,086790,000030,086280,023530,024110,161390,004020,001040,001800,036570,088350,139480,029780,002380,009150
2017-01-02,005930,000660,005380,015760,012330,035420,028260,005490,032830,055550,017670,090430,105560,051910,034730,000270,033780,096770,011170,051900,000810,009540,034220,018260,003550,002790,010950,086790,010130,000030,066570,004020,030200,035250,006400,161390,024110,023530,047810,021240,086280,088350,036570,001040,139480,029780,002380,001800,009150,008930
2017-07-03,005930,000660,005380,035420,028260,015760,005490,012330,105560,055550,032830,017670,051910,034730,207940,090430,033780,000270,051900,096770,018260,086790,003550,000810,066570,034220,251270,000030,011170,006400,002790,010950,009540,023530,030200,010130,004020,036570,161390,024110,021240,035250,139480,088350,086280,001040,047810,008930,001800,029780
2018-01-02,005930,000660,005380,005490,035420,051910,105560,207940,012330,032830,015760,028260,055550,017670,034730,096770,051900,090430,066570,251270,033780,003550,018260,086790,006400,000270,010950,000810,011170,002790,000030,034220,035720,036570,010130,024110,030200,004020,021240,139480,008930,161390,035250,009540,088350,023530,086280,001040,047810,029780
2018-07-02,005930,000660,068270,207940,005490,005380,035420,051910,105560,051900,028260,015760,055550,012330,032830,017670,090430,034730,096770,018260,006400,033780,066570,086790,251270,000270,000810,003550,010950,011170,000030,002790,024110,035720,036570,010130,030200,009540,139480,004020,034220,021240,023530,035250,161390,088350,086280,001040,008930,047810
2019-01-02,005930,000660,068270,207940,005380,051910,017670,015760,005490,028260,035420,105560,055550,012330,034730,051900,032830,018260,096770,006400,033780,000270,000810,003550,090430,086790,000030,010950,036570,066570,011170,251270,009540,035720,010130,030200,024110,035250,034220,004020,023530,002790,021240,139480,161390,008930,086280,088350,001040,047810
2019-07-01,005930,000660,005380,068270,051910,012330,005490,055550,207940,017670,051900,105560,035420,028260,000270,032830,018260,006400,034730,015760,096770,033780,003550,000810,066570,086790,035720,036570,090430,316140,010950,011170,010130,251270,009540,024110,009150,030200,035250,032640,034220,000720,086280,021240,004020,002790,023530,008930,161390,139480
2020-01-02,005930,000660,035420,207940,005380,012330,068270,051910,005490,028260,055550,051900,105560,017670,015760,034730,000270,006400,018260,032830,096770,035720,033780,003550,090430,036570,066570,000810,086790,010950,009150,009540,316140,010130,251270,011170,030200,002790,024110,021240,035250,032640,034220,086280,000720,004020,161390,023530,139480,008930
2020-07-01,005930,000660,207940,035420,068270,051910,006400,035720,028260,005380,034730,051900,036570,012330,017670,005490,105560,055550,018260,000270,015760,003550,096770,033780,066570,009150,090430,032830,000810,251270,086790,010950,010130,316140,009540,030200,011170,021240,024110,032640,035250,034220,002790,086280,000720,161390,139480,004020,023530,008930
2021-01-04,005930,000660,051910,207940,035420,068270,006400,005380,035720,012330,028260,000270,051900,005490,066570,036570,096770,017670,105560,034730,015760,003550,055550,032830,018260,009150,326030,090430,033780,251270,086790,011170,018880,000810,010950,009540,010130,086280,316140,034220,024110,030200,352820,021240,032640,035250,161390,002790,139480,000720
2021-07-01,005930,000660,035720,035420,051910,207940,005380,006400,068270,000270,005490,051900,012330,066570,096770,028260,105560,017670,055550,034730,036570,003550,032830,015760,090430,018260,086790,361610,009150,302440,251270,352820,033780,003670,010950,000810,326030,009540,011170,018880,034220,316140,030200,010130,086280,024110,032640,161390,021240,035250
2022-01-03,005930,000660,035420,207940,035720,005380,006400,051910,000270,323410,068270,005490,012330,377300,105560,096770,066570,259960,028260,055550,034730,302440,051900,036570,009150,352820,015760,032830,086790,003550,017670,018260,361610,003670,033780,251270,090430,000810,010950,010130,316140,034220,030200,326030,024110,011170,018880,009540,086280,032640
2022-07-01,005930,373220,000660,207940,035420,005380,051910,006400,000270,035720,068270,028260,005490,105560,055550,012330,096770,034730,066570,015760,323410,032830,003550,086790,017670,010950,033780,051900,259960,018260,030200,000810,009150,010130,316140,003670,377300,090430,036570,302440,024110,086280,009540,011170,361610,251270,352820,326030,018880,034220
2023-01-02,005930,373220,207940,000660,051910,006400,005380,035420,000270,035720,005490,068270,028260,105560,012330,055550,003670,096770,066570,032830,034730,015760,033780,003550,086790,323410,051900,010130,017670,009150,036570,011200,010950,018260,000810,030200,316140,259960,090430,024110,377300,352820,086280,011170,302440,326030,009540,251270,034220,361610
2023-07-03,005930,373220,000660,207940,006400,051910,005380,000270,005490,035420,003670,035720,068270,012330,066570,028260,105560,055550,096770,003550,032830,015760,086790,352820,323410,034020,033780,034730,000810,009150,017670,010130,018260,011200,259960,316140,024110,009540,030200,010950,086280,051900,011170,377300,036570,326030,302440,090430,034220,251270
2024-01-02,005930,000660,373220,207940,005380,005490,000270,035420,051910,068270,006400,003670,035720,028260,012330,105560,055550,066570,011200,096770,450080,032830,003550,323410,034730,018260,086790,000810,015760,033780,009150,329180,017670,047050,034020,352820,010130,316140,259960,024110,030200,090430,009540,326030,010950,086280,377300,011170,051900,036570
2024-07-01,005930,000660,373220,005380,207940,000270,068270,105560,005490,035420,006400,051910,028260,055550,012330,003670,035720,066570,032830,000810,086790,138040,011200,329180,259960,034020,003550,015760,018260,009150,034730,033780,009540,047050,017670,024110,096770,010130,316140,323410,090430,030200,086280,352820,010950,450080,326030,022100,011170,377300
2025-01-02,005930,000660,373220,207940,005380,000270,068270,105560,035420,329180,055550,012330,005490,028260,138040,010130,032830,051910,000810,096770,012450,035720,006400,009540,086790,011200,259960,066570,033780,015760,017670,024110,034020,003550,316140,030200,003670,402340,086280,323410,018260,034730,009150,042700,326030,352820,047050,010950,090430,450080
2025-07-01,005930,000660,207940,373220,005380,105560,035420,034020,012450,000270,329180,068270,055550,028260,035720,012330,032830,009540,086790,402340,015760,042660,011200,005490,138040,000810,096770,259960,316140,034730,051910,010130,033780,024110,030200,006400,323410,003550,352820,018260,017670,066570,086280,009150,003670,042700,047050,090430,326030,010950
2026-01-02,005930,000660,373220,207940,005380,329180,402340,012450,034020,000270,105560,068270,028260,035420,055550,042660,012330,032830,015760,267260,009540,035720,086790,010130,005490,051910,000810,006400,010140,064350,316140,009150,138040,011200,034730,0126Z0,096770,033780,024110,003670,066570,352820,042700,018260,086280,030200,003550,259960,017670,323410
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
