Date,Close,High,Low,Open,Volume
2001-08-02,8844.2001953125,8844.2001953125,8638.521253457357,8741.360465496686,49390
2001-08-03,8689.9423828125,8844.201482205512,8689.9423828125,8741.361737425797,45266
2001-08-06,8844.2001953125,8895.619542443921,8741.360465496686,8844.2001953125,67126
2001-08-07,8844.2001953125,8844.2001953125,8715.650791930973,8792.780848181077,41451
2001-08-08,8741.361328125,8818.491391986568,8715.651652022167,8767.071004227832,26499
2001-08-09,8587.1015625,8767.070316658608,8587.1015625,8715.650968485576,73106
2001-08-10,8741.361328125,8818.491391986568,8638.522105937134,8818.491391986568,39285
2001-08-13,8792.78125,8792.78125,8561.392106228472,8741.360864965762,43204
2001-08-14,8947.0400390625,8972.749712955607,8741.36057681169,8792.780960150885,166011
2001-08-15,8947.0400390625,8947.0400390625,8947.0400390625,8947.0400390625,0
2001-08-16,8947.0400390625,8947.0400390625,8792.780960150885,8947.0400390625,115383
2001-08-17,8947.0400390625,9127.008791867222,8869.909981830202,9049.879770187905,217155
2001-08-20,8792.78125,8895.619948962443,8741.360864965762,8895.619948962443,83315
2001-08-21,8947.0400390625,8972.749712955607,8715.650902918585,8844.200307937095,89295
2001-08-22,8792.78125,8895.619948962443,8767.070539706372,8895.619948962443,65270
2001-08-23,8844.2001953125,8947.039925128312,8792.780848181077,8947.039925128312,56918
2001-08-24,8947.0400390625,8972.749712955607,8792.780960150885,8792.780960150885,137449
2001-08-27,8947.0400390625,9127.008791867222,8947.0400390625,9024.169060741817,171063
2001-08-28,8895.619140625,8947.039520986711,8844.199795816212,8947.039520986711,79912
2001-08-29,8664.23046875,8792.78038310868,8638.520796544139,8792.78038310868,105793
2001-08-30,8612.8115234375,8664.231391099574,8561.392173551936,8587.101848494718,45678
2001-08-31,8458.55078125,8587.100166334903,8432.841111343583,8484.260451156417,100225
2001-09-03,8484.26171875,8561.39177554571,8432.842371254845,8432.842371254845,30108
2001-09-04,8612.8115234375,8612.8115234375,8432.842763285003,8484.262113170567,56711
2001-09-05,8587.1015625,8587.1015625,8407.132290564896,8587.1015625,116723
2001-09-06,8484.26171875,8664.230988312507,8432.842371254845,8561.39177554571,99194
2001-09-07,8458.55078125,8509.970638839244,8407.130923660758,8458.55078125,36605
2001-09-10,8381.4228515625,8484.262068569522,8381.4228515625,8432.842718954265,50112
2001-09-11,8381.4228515625,8484.262068569522,8355.712658978362,8432.842718954265,36605
2001-09-12,7661.544921875,8124.323160988085,7198.767200538368,7198.767200538368,205194
2001-09-13,7610.1259765625,7970.0639930074585,7610.125976562499,7892.934455039002,249223
2001-09-14,7198.7666015625,7610.124944571757,6967.377501258768,7610.124944571757,180137
2001-09-17,6941.669921875,7250.188642600174,6787.410820400696,7198.7687695165505,113939
2001-09-18,7018.798828125,7147.348240141982,6993.089152832211,7044.509021194308,133015
2001-09-19,7044.509765625,7301.6086168279635,6967.379696042851,7018.7995698387585,463182
2001-09-20,7250.18798828125,7301.607856724306,6941.66929539944,7044.50903228555,215814
2001-09-21,6993.08935546875,7224.477993138284,6787.410393836987,7095.928577396365,484114
2001-09-24,6993.08935546875,6993.08935546875,6993.08935546875,6993.08935546875,0
2001-09-25,6993.08935546875,7275.897862990358,6941.669485616676,7198.768317100514,119095
2001-09-26,7198.7666015625,7301.606316758917,6967.377501258768,7044.507546544285,401520
2001-09-27,7353.0263671875,7353.0263671875,7147.3474346939765,7250.187159828968,114970
2001-09-28,7353.0263671875,7353.0263671875,7353.0263671875,7353.0263671875,0
2001-10-01,7353.0263671875,7353.0263671875,7353.0263671875,7353.0263671875,0
2001-10-02,7353.0263671875,7353.0263671875,7353.0263671875,7353.0263671875,0
2001-10-03,7353.0263671875,7353.0263671875,7353.0263671875,7353.0263671875,0
2001-10-04,8432.84375,8484.26310590207,7661.546680373525,7738.676749779774,2051220
2001-10-05,8407.1328125,8587.102095608032,8227.163529391968,8381.423136817364,450086
2001-10-08,8175.7431640625,8330.002234579997,8021.483575768539,8227.162509050691,107649
2001-10-09,8227.1630859375,8381.422685048108,8150.033545270445,8150.033545270445,102287
2001-10-10,8175.7431640625,8278.582371815344,8021.483575768539,8150.032973791942,47638
2001-10-11,8304.2939453125,8330.003622088994,8252.874073982959,8330.003622088994,95997
2001-10-12,8227.1630859375,8484.261900012016,8227.1630859375,8355.712492974757,104350
2001-10-15,8252.8720703125,8458.550987918432,8227.161882001494,8304.29192915809,40626
2001-10-16,8407.1328125,8407.1328125,8201.453853709332,8201.453853709332,30212
2001-10-17,8252.8720703125,8535.680517298602,8175.742540932329,8381.42145853826,282425
2001-10-18,8227.1630859375,8227.1630859375,8098.613678900242,8227.1630859375,65476
2001-10-19,8227.1630859375,8278.582952307703,8072.90400460339,8201.453411640648,61764
2001-10-22,8124.32470703125,8227.163932578133,8098.614512312116,8227.163932578133,200038
2001-10-23,8458.55078125,8509.970638839244,8150.032153490951,8150.032153490951,223445
2001-10-24,8587.1015625,8664.231102536047,8381.42261647838,8484.261830600943,192305
2001-10-25,8664.23046875,8689.94065873232,8509.971399961916,8689.94065873232,100328
2001-10-26,8587.1015625,8741.360642572092,8484.261830600943,8638.521428449529,72694
2001-10-29,8612.8115234375,8612.8115234375,8458.552438227785,8535.681980832642,78262
2001-10-30,8612.8115234375,8638.521716156793,8330.003027960853,8484.262113170567,26190
2001-10-31,8587.1015625,8612.811236586516,8432.842482427908,8535.681696550471,36708
2001-11-01,8587.1015625,8587.1015625,8432.842482427908,8535.681696550471,54237
2001-11-02,8484.26171875,8664.230988312507,8458.552045002421,8587.101449293286,55165
2001-11-05,8612.8115234375,8612.8115234375,8509.97230588986,8587.101848494718,58671
2001-11-06,8689.9423828125,8767.071414732445,8638.522510422643,8689.9423828125,195398
2001-11-07,8432.84375,8689.942600616634,8432.84375,8689.942600616634,92904
2001-11-08,8432.84375,8664.232404889028,8432.84375,8458.553427951036,120435
2001-11-09,8432.84375,8432.84375,8432.84375,8432.84375,0
2001-11-12,8432.84375,8432.84375,8330.004002642718,8355.713680593752,61970
2001-11-13,8535.6826171875,8587.102488683046,8355.713325841365,8432.84339197296,95276
2001-11-14,8638.521484375,8638.521484375,8432.842537021821,8535.681751810162,152297
2001-11-15,8715.6513671875,8844.200779053634,8509.97241175699,8509.97241175699,213649
2001-11-16,8921.3291015625,8921.3291015625,8664.229810164237,8715.64966844389,252110
2001-11-19,9024.169921875,9127.009662813907,8895.620504589637,8895.620504589637,344602
2001-11-20,8895.619140625,9127.008263370395,8818.490123411817,9075.588918561605,241489
2001-11-21,8895.619140625,9049.879246157212,8741.360070645713,8741.360070645713,167145
2001-11-22,8792.78125,8921.33065925607,8612.811455709692,8921.33065925607,201172
2001-11-23,8947.0400390625,8947.0400390625,8741.36057681169,8741.36057681169,169723
2001-11-26,9152.71875,9281.269194563656,8895.61993197872,8998.459666297835,286343
2001-11-27,9486.94921875,9666.919042880296,9204.140678606036,9204.140678606036,455139
2001-11-28,9049.8779296875,9589.785113852127,9049.8779296875,9486.945403641539,263762
2001-11-29,8947.0400390625,9152.718465760328,8869.909981830202,9049.879770187905,157246
