Date,Close,High,Low,Open,Volume
2001-08-02,2153.4609375,2163.2642498103187,2094.641063638088,2156.728708270106,119600
2001-08-03,2140.389892578125,2153.4609758915794,2104.444413466126,2104.444413466126,93700
2001-08-06,2169.800048828125,2209.0133027226093,2156.7289641966304,2209.0133027226093,108100
2001-08-07,2173.067626953125,2176.3353978207238,2124.051063939145,2124.051063939145,80200
2001-08-08,2169.800048828125,2195.9422180911147,2156.7289641966304,2189.406675775367,65700
2001-08-09,2032.553466796875,2150.193217286726,2032.5534667968748,2150.193217286726,182200
2001-08-10,2091.373779296875,2110.9804084777834,2065.231607055664,2065.231607055664,94600
2001-08-13,2091.373779296875,2117.515951538086,2026.0183486938477,2078.3026931762697,104700
2001-08-14,2228.6201171875,2235.1556600531526,2091.3737170087975,2124.05143133706,269200
2001-08-15,2228.6201171875,2228.6201171875,2228.6201171875,2228.6201171875,0
2001-08-16,2349.527587890625,2411.615243203451,2192.674563942433,2222.084505932719,506700
2001-08-17,2310.31396484375,2418.150401675212,2303.7784232176004,2385.472693544466,344300
2001-08-20,2313.581787109375,2359.330579509843,2280.904078251898,2320.1173288808704,189700
2001-08-21,2359.330810546875,2542.325998068516,2333.188640900926,2542.325998068516,427200
2001-08-22,2378.9375,2418.1507554945056,2231.8877918956046,2231.8877918956046,224600
2001-08-23,2398.544189453125,2418.150817704786,2346.259847448697,2418.150817704786,155800
2001-08-24,2352.794921875,2405.0792534722223,2320.117214626736,2378.937087673611,78200
2001-08-27,2352.794921875,2411.614794921875,2352.794921875,2352.794921875,158000
2001-08-28,2284.171875,2333.188438841202,2254.761936695279,2333.188438841202,139300
2001-08-29,2222.083984375,2254.7616900275734,2189.4062787224266,2254.7616900275734,134700
2001-08-30,2228.6201171875,2241.691202918805,2169.8002313966276,2176.33577426228,73900
2001-08-31,2235.155517578125,2352.795281661184,2143.6579232913014,2222.0844326800075,216800
2001-09-03,2267.832763671875,2320.1170925173365,2241.6905992491447,2241.6905992491447,137000
2001-09-04,2287.439453125,2300.5105357142857,2235.155122767857,2244.958434709821,90600
2001-09-05,2235.155517578125,2287.439857170596,2225.352203904537,2287.439857170596,101000
2001-09-06,2254.762451171875,2287.440167855525,2222.0847344882245,2225.3525061565897,59400
2001-09-07,2222.083984375,2261.2972311580884,2189.4062787224266,2222.083984375,85200
2001-09-10,2189.406494140625,2222.0842030083954,2176.335410593517,2212.2808903480645,71800
2001-09-11,2189.406494140625,2218.8164321216186,2169.7998688199627,2169.7998688199627,259700
2001-09-12,1927.9852294921875,2124.051524016817,1862.6297979839778,1862.6297979839778,270400
2001-09-13,1921.44921875,1996.6079466943027,1898.5748232886904,1927.9847603103742,402100
2001-09-14,1849.558349609375,1947.5914776805432,1715.579741245445,1947.5914776805432,229700
2001-09-17,1699.241455078125,1816.8812481219952,1699.241455078125,1816.8812481219952,120400
2001-09-18,1803.8096923828125,1882.2362007472825,1699.2410145635188,1699.2410145635188,134400
2001-09-19,1882.23583984375,1960.662333170573,1764.5960998535156,1771.1316409640842,132600
2001-09-20,1856.093994140625,1862.6295363735146,1807.0774273939537,1829.951825209067,97100
2001-09-21,1829.951416015625,1865.896890258789,1790.7381713867187,1816.8803344726562,58400
2001-09-24,1829.951416015625,1829.951416015625,1829.951416015625,1829.951416015625,0
2001-09-25,1895.30712890625,1927.9848380253234,1875.7005034348063,1927.9848380253234,87000
2001-09-26,1895.30712890625,1924.717067113416,1856.0938779633623,1895.3071289062502,53700
2001-09-27,1895.30712890625,1901.8426707300648,1829.9517106681035,1839.7550234038256,87100
2001-09-28,1895.30712890625,1895.3071289062502,1895.3071289062502,1895.3071289062502,0
2001-10-01,1895.30712890625,1895.3071289062502,1895.3071289062502,1895.3071289062502,0
2001-10-02,1895.30712890625,1895.3071289062502,1895.3071289062502,1895.3071289062502,0
2001-10-03,1895.30712890625,1895.3071289062502,1895.3071289062502,1895.3071289062502,0
2001-10-04,1980.26953125,1993.3406172648515,1934.5207301980197,1993.3406172648515,127000
2001-10-05,2006.4111328125,2006.4111328125002,1941.0557213202362,1986.804509364821,109300
2001-10-08,2012.9471435546875,2039.089314250203,1914.9140034465047,1921.4495461203835,88700
2001-10-09,2052.160400390625,2058.695943067028,2012.9471443322054,2026.0182296850119,94400
2001-10-10,2039.089111328125,2065.2312794220757,2032.5535693046374,2052.1601953751,63400
2001-10-11,2209.012939453125,2287.439434344952,2058.695490910457,2058.695490910457,434400
2001-10-12,2150.193115234375,2222.0840704549773,1960.6624151073327,2222.0840704549773,199700
2001-10-15,2097.908935546875,2156.728812244451,2065.231226270444,2065.231226270444,59200
2001-10-16,2097.908935546875,2130.5866448233064,2065.231226270444,2065.231226270444,85700
2001-10-17,2084.83837890625,2124.0516399515086,2058.6962048760774,2124.0516399515086,126400
2001-10-18,2176.336181640625,2235.156078441723,2104.445196661505,2114.2485127950217,266100
2001-10-19,2146.92529296875,2222.0840170757233,2130.586439902017,2222.0840170757233,117400
2001-10-22,2146.92529296875,2163.2641460354835,2124.0508986753234,2159.9963754221367,102400
