Date,Close,High,Low,Open,Volume
2001-08-02,65270.29296875,66376.56886451582,64401.076193505425,66376.56886451582,9983
2001-08-03,64796.1875,65586.38472416378,64005.990275836215,64875.20722241638,6734
2001-08-06,65033.234375,65981.47086476574,64322.05700767569,64717.15554507809,7012
2001-08-07,66060.5,66376.57887503077,64401.08590608844,64796.18449987691,10685
2001-08-08,64796.1875,67561.87778457325,64796.1875,65665.40444658017,13575
2001-08-09,63689.91015625,65665.40317851058,63689.91015625,64796.186248715916,12293
2001-08-10,64401.0859375,65586.38171944353,64401.0859375,65586.38171944353,5395
2001-08-13,64796.1875,65191.28611208189,63926.97055341984,64796.1875,7248
2001-08-14,66376.5859375,66376.5859375,64005.99412253822,64796.191394192145,14530
2001-08-15,66376.5859375,66376.5859375,66376.5859375,66376.5859375,0
2001-08-16,65902.4609375,66139.52009512206,64559.12571097502,64638.145430182376,8032
2001-08-17,66218.546875,67008.74415132971,65112.27068813841,66376.58633026594,8685
2001-08-20,63373.83203125,65586.3842426653,63373.83203125001,65270.305355320255,10930
2001-08-21,63689.91015625,64401.087644263804,63373.8312726883,63452.85099357873,6130
2001-08-22,63610.88671875,64243.04444893814,62741.6698397413,63215.788137382406,7624
2001-08-23,63215.78515625,64322.06113190944,63215.78515625,64085.00199426813,8244
2001-08-24,63610.88671875,64085.0050163911,62899.70927228834,63926.96558384407,5681
2001-08-27,64164.03125,65112.26794159749,64005.99180140042,64480.110147199164,10220
2001-08-28,63847.953125,64164.03202602192,62978.73614718969,64164.03202602192,4620
2001-08-29,61635.40234375,63136.77716077361,61003.24452605585,62741.67852471476,8236
2001-08-30,60055.0,61240.29575423878,59027.74367965972,60845.19716949252,13493
2001-08-31,56815.1953125,58474.60947671773,55708.91920302151,56894.2150346056,11624
2001-09-03,54128.5078125,57605.37449649002,53180.27144413909,57605.37449649002,15730
2001-09-04,54839.69140625,54918.7111127164,53417.33668985474,53733.41551572036,18146
2001-09-05,55234.78125,55866.938802291115,53970.46614541777,54523.604003672495,15583
2001-09-06,55550.8671875,58158.51742686675,55234.78837060706,58158.51742686675,10979
2001-09-07,55076.76953125,55313.82873245235,54207.55246017473,54523.63139511119,9020
2001-09-10,53417.34765625,54444.604051205395,51441.85458902809,54444.604051205395,12979
2001-09-11,53022.24609375,53970.482713276346,52943.22637545614,52943.22637545614,6595
2001-09-12,45120.26171875,47411.83316805206,45120.26171875,45120.26171875,23975
2001-09-13,44962.23046875,46463.60513905647,43855.95439589261,46463.60513905647,29893
2001-09-14,40300.06640625,45357.3283767227,38798.69175876592,45120.26922185679,265510
2001-09-17,41248.30078125,43302.81334496135,37929.472793716275,39509.86707349424,20595
2001-09-18,42512.625,43855.96041571784,41959.486887645595,43539.881494372465,14220
2001-09-19,42749.67578125,44646.14893624614,42512.61663687548,43065.754640416024,10106
2001-09-20,41406.34765625,42591.64357926154,40063.012276836926,42512.623851060765,55036
2001-09-21,39272.80859375,40300.06489292738,38956.72973246465,40300.06489292738,12693
2001-09-24,39272.80859375,39272.80859375,39272.80859375,39272.80859375,0
2001-09-25,40379.08203125,42275.55507792892,40300.062320971716,42117.51565737234,11746
2001-09-26,39904.96484375,41169.280242235705,39667.90570653393,40379.083118182134,8146
2001-09-27,40616.1484375,40616.1484375,39509.87229544095,39588.89201987375,3951
2001-09-28,40616.1484375,40616.1484375,40616.1484375,40616.1484375,0
2001-10-01,40616.1484375,40616.1484375,40616.1484375,40616.1484375,0
2001-10-02,40616.1484375,40616.1484375,40616.1484375,40616.1484375,0
2001-10-03,40616.1484375,40616.1484375,40616.1484375,40616.1484375,0
2001-10-04,44330.0625,44646.14130514051,43065.74727943796,43460.845785863596,17420
2001-10-05,43776.9296875,45120.264765737804,43460.8508455617,45120.264765737804,9404
2001-10-08,42275.56640625,43460.86237804073,41959.487480439144,42512.625600608146,6865
2001-10-09,43223.80078125,43776.9388706749,42670.6626918251,42670.6626918251,9599
2001-10-10,42591.63671875,43460.853588948055,42354.577572332346,43223.7944425304,5893
2001-10-11,44646.1484375,44883.20757922631,43460.852728868456,43460.852728868456,21959
2001-10-12,45041.25390625,47016.74705656593,44013.99746808571,46621.64842650275,25616
2001-10-15,45910.46875,46542.626528601766,44409.094025820785,44409.094025820785,10244
2001-10-16,46621.64453125,46937.72340889206,45989.486775965874,46068.50649537639,10783
2001-10-17,46621.64453125,47174.782567123606,46305.56565360793,47095.76284771309,12285
2001-10-18,45831.44140625,46147.52024298935,45041.24431440163,46147.52024298935,7151
2001-10-19,45910.46875,46779.685695577435,45673.40958302433,46779.685695577435,7387
2001-10-22,46147.51953125,46542.61807108053,45436.34215955505,45436.34215955505,6253
2001-10-23,48676.15234375,49782.428304311485,46542.62013409572,46621.639845564394,22171
2001-10-24,50335.5703125,52153.02886123703,47648.89990757465,48676.15623886963,16759
