Date,Open,High,Low,Close,Volume,Change
2004-11-24,7950,8090,7740,7960,1733202,-0.003754693366708417
2004-11-25,7960,8030,7790,7870,663130,-0.011306532663316604
2004-11-26,7870,8050,7500,7600,1548964,-0.03430749682337997
2004-11-29,7610,7730,7530,7640,709411,0.0052631578947368585
2004-11-30,7610,7990,7500,7900,1612456,0.03403141361256545
2004-12-01,7980,8080,7820,7900,608851,0.0
2004-12-02,8100,8150,7930,8000,868580,0.012658227848101333
2004-12-03,8000,8140,7910,7950,613356,-0.006249999999999978
2004-12-06,7860,7860,7680,7860,620320,-0.01132075471698113
2004-12-07,7850,7860,7700,7700,443862,-0.020356234096692072
2004-12-08,7790,7800,7660,7700,497834,0.0
2004-12-09,7680,7800,7540,7800,2572867,0.01298701298701288
2004-12-10,7780,7810,7630,7700,560450,-0.012820512820512775
2004-12-13,7570,7860,7570,7850,680950,0.01948051948051943
2004-12-14,7730,7870,7730,7800,408660,-0.006369426751592355
2004-12-15,7810,7930,7810,7900,906050,0.012820512820512775
2004-12-16,7840,7980,7790,7820,711470,-0.010126582278481067
2004-12-17,7890,7960,7790,7940,1102345,0.01534526854219953
2004-12-20,8000,8030,7940,7990,742020,0.006297229219143663
2004-12-21,7950,7980,7800,7860,730197,-0.016270337922402955
2004-12-22,7910,8040,7910,7940,401483,0.010178117048346147
2004-12-23,7990,8040,7780,7800,329604,-0.017632241813602012
2004-12-24,7730,8010,7730,8000,530609,0.02564102564102555
2004-12-27,8090,8120,8010,8100,634360,0.012499999999999956
2004-12-28,8130,8280,8070,8220,843550,0.014814814814814836
2004-12-29,8160,8440,8150,8400,865290,0.021897810218978186
2004-12-30,8490,8600,8400,8600,877457,0.023809523809523725
2005-01-03,8620,8630,8520,8520,386934,-0.009302325581395321
2005-01-04,8550,8700,8420,8420,558409,-0.011737089201877882
2005-01-05,8330,8450,8300,8400,385470,-0.002375296912114022
2005-01-06,8310,8530,8250,8250,623402,-0.017857142857142905
2005-01-07,8320,8470,8300,8410,532980,0.019393939393939297
2005-01-10,8490,8500,8340,8450,511319,0.0047562425683709275
2005-01-11,8650,9100,8450,8600,2425070,0.01775147928994092
2005-01-12,8750,8840,8560,8560,1013100,-0.0046511627906976605
2005-01-13,8500,8520,8260,8350,1545820,-0.02453271028037385
2005-01-14,8100,8350,8070,8240,1947028,-0.013173652694610793
2005-01-17,8200,8390,8140,8300,1507023,0.00728155339805836
2005-01-18,8270,8510,8260,8450,1182033,0.01807228915662651
2005-01-19,8490,8600,8380,8580,1196597,0.01538461538461533
2005-01-20,8510,8540,8400,8400,622912,-0.020979020979020935
2005-01-21,8400,8520,8350,8390,645068,-0.0011904761904761862
2005-01-24,8340,8450,8120,8300,1007763,-0.010727056019070313
2005-01-25,8300,8330,8210,8250,770102,-0.0060240963855421326
2005-01-26,8300,8600,8280,8550,1233883,0.036363636363636376
2005-01-27,8460,8620,8460,8570,768753,0.002339181286549641
2005-01-28,8510,8590,8510,8510,652080,-0.007001166861143493
2005-01-31,8600,8910,8520,8890,1932530,0.044653349001175124
2005-02-01,8760,8900,8760,8820,1335795,-0.007874015748031482
2005-02-02,8960,8960,8660,8740,533873,-0.009070294784580546
2005-02-03,8700,8840,8630,8730,478896,-0.0011441647597254523
2005-02-04,8730,8780,8600,8600,509646,-0.014891179839633395
