Date,Close,High,Low,Open,Volume
2006-02-09,285452.125,297695.7823223039,282303.7559742647,293847.7757352941,602304
2006-02-10,282653.53125,286851.3559715346,279854.98143564357,286151.71851794556,168457
2006-02-13,278455.65625,283353.1175408292,278455.65625,283003.2988771985,156333
2006-02-14,275657.125,278455.67449238576,269710.2073286802,274257.8502538071,77681
2006-02-15,278455.65625,279505.11224089196,275307.2882773241,279155.2935772613,49746
2006-02-16,284052.71875,290349.45389470446,278455.62084359606,280904.35117764777,50953
2006-02-17,282303.65625,284402.5681923792,281604.01893587364,284052.749535316,29851
2006-02-20,289649.90625,291748.81861413043,281254.2567934783,281254.2567934783,64736
2006-02-21,287550.96875,290699.33702098543,285452.0565693431,288600.42484032846,75098
2006-02-22,287900.84375,289649.9375759417,285801.93115887,286851.387454435,38167
2006-02-23,290349.5625,292798.29375,286151.7375,287900.83125,75155
2006-02-24,284052.71875,288250.54217980296,283353.08151169954,287550.9049415025,46810
2006-02-27,284752.40625,286851.3183353808,282653.4941646192,284052.7688882064,41812
2006-02-28,293847.75,296646.3,287201.19375000003,287551.0125,195045
2006-03-02,288950.25,289649.88740920095,286501.5190677966,288600.4312953995,83349
2006-03-03,281953.875,290699.3425868486,281604.05629652605,288950.2490694789,51535
2006-03-06,281254.21875,283003.31215018657,280904.40006996266,281254.21875,54984
2006-03-07,275657.125,281953.861357868,275307.3063134518,281254.2239847716,61020
2006-03-08,275657.125,277406.2184327411,273208.39419416245,274957.4876269036,34461
2006-03-09,275657.125,277756.03711928934,274257.8502538071,275307.3063134518,23688
2006-03-10,279855.0,280554.6375,273908.08125,273908.08125,29237
2006-03-13,278805.53125,280204.80618726474,277756.0750470515,279155.3499843162,25859
2006-03-14,281254.21875,284402.5868703358,277756.03194962686,277756.03194962686,49047
2006-03-15,275657.125,280904.40529822337,274957.4876269036,280904.40529822337,45872
2006-03-16,274257.875,277406.24346301024,273558.2375637755,275657.149872449,31586
2006-03-17,277056.4375,277056.4375,272858.6126893939,273908.0688920454,25110
2006-03-20,276706.5625,276706.5625,273208.37586915295,273208.37586915295,20839
2006-03-21,276356.875,277756.1503164557,275657.2373417721,276356.875,33054
2006-03-22,273208.4375,274957.5312099872,272858.6187580025,273558.2562419974,15206
2006-03-23,266561.84375,273558.21760170604,266561.84375,273208.39890912076,56194
2006-03-24,267961.09375,268310.912410248,264462.9071475196,266561.81910900783,24770
2006-03-27,264812.75,268310.9369220608,264113.1126155879,267961.11822985474,38325
2006-03-28,259565.484375,262713.85278386116,259565.484375,262713.85278386116,38269
2006-03-29,264113.15625,266911.70625,258865.875,258865.875,24098
2006-03-30,265862.28125,267261.5564144737,265512.4624588816,266911.7376233553,26663
2006-03-31,278455.65625,279155.2935772613,266561.8216865578,267611.27767744975,67313
2006-04-03,283703.03125,283703.03125,277056.4744143033,278455.7495376079,39644
2006-04-04,278805.53125,281953.8998588457,276706.6188441029,281953.8998588457,76969
2006-04-05,278805.53125,281953.8998588457,276706.6188441029,281953.8998588457,81371
2006-04-06,291748.78125,294897.1493929856,287550.9570593525,287550.9570593525,140093
2006-04-07,288600.46875,288600.46875,286151.7375,286851.375,92474
