Date,Close,High,Low,Open,Volume
2001-08-02,16051.62109375,16497.49843602858,15249.03967134529,15917.85660405619,1160759
2001-08-03,16163.09375,16274.561726361084,15694.919791786106,16051.623935052537,409897
2001-08-06,15962.4462890625,16185.385909308241,15806.38892260774,16096.210796644464,258626
2001-08-07,16341.4443359375,16341.4443359375,15650.33257149062,15694.92013071519,383506
2001-08-08,16363.736328125,16408.323879974363,15962.444684308499,16207.67897735917,324391
2001-08-09,15405.099609375,16029.329096764988,15249.042237527503,15873.271724917491,537204
2001-08-10,15293.62890625,15583.448934865752,15115.277765835257,15405.098713744137,344976
2001-08-13,15471.98046875,15538.860880228207,14981.513699254698,15293.628414773653,360388
2001-08-14,16185.3857421875,16386.030662902405,15561.156282813889,15605.743838685392,1144291
2001-08-15,16185.3857421875,16185.3857421875,16185.3857421875,16185.3857421875,0
2001-08-16,16720.439453125,16987.96661675321,15962.445516414045,16051.622463347587,1136797
2001-08-17,16452.9140625,16831.91107169705,16341.44424576049,16809.616372914585,568029
2001-08-20,16051.62109375,16631.262925722393,15605.741912885365,15605.741912885365,472917
2001-08-21,15873.2744140625,16408.328876352545,15650.334748343867,16229.976776060306,320697
2001-08-22,16118.505859375,16296.85794767465,15672.6283965057,15739.510659441386,383717
2001-08-23,15917.8583984375,16430.61804336513,15917.8583984375,16274.560680187753,241736
2001-08-24,16386.03515625,16452.917427690725,15962.450501436713,16252.272451955334,659234
2001-08-27,16854.203125,17032.555190961913,16497.500831662495,16631.26534078051,566128
2001-08-28,16765.033203125,16965.67819035165,16586.68108193082,16854.208344428647,339170
2001-08-29,16051.62109375,16542.085986397837,15940.151298533841,16497.49843602858,375589
2001-08-30,15739.5087890625,15850.976762593798,15538.862024098968,15650.331836216597,324497
2001-08-31,14357.283203125,15382.804285548938,14178.932070252915,15026.10110051168,827183
2001-09-03,14446.4599609375,14669.399577789573,14379.57862745776,14401.872405284339,553883
2001-09-04,15471.98046875,15561.155576445073,14647.104287518874,14669.39898373574,556206
2001-09-05,15583.447265625,15761.799306228466,15137.569921995426,15226.745942297159,480095
2001-09-06,15739.5087890625,15873.271460451857,15583.449581228753,15873.271460451857,399446
2001-09-07,15561.15234375,15628.034579920197,15315.919009947458,15583.445196749522,265382
2001-09-10,15159.8642578125,15338.21538571781,15070.688234213314,15226.746505335155,312780
2001-09-11,15026.1025390625,15471.981792869394,14981.514981399081,15382.80575824938,220730
2001-09-12,13019.6513671875,13777.64454832331,12774.41884697178,12774.41884697178,1226313
2001-09-13,13733.0576171875,14000.584850923276,13465.530383451725,13822.233668197208,964097
2001-09-14,13198.00390625,14045.173221876823,12484.59913445204,13911.409597341357,984365
2001-09-17,12217.0703125,12930.47591174428,11994.130660545354,12529.185089801884,835311
2001-09-18,12885.8857421875,13019.64933198339,12662.947038723125,12707.534595557368,1332931
2001-09-19,12618.359375,13041.943950076315,12484.596695885264,12841.299012110994,965364
2001-09-20,12440.0048828125,12618.35599312507,12105.596436064812,12573.768445370171,758990
2001-09-21,12127.8916015625,12261.655179468931,11815.776892878523,12038.715576527187,718982
2001-09-24,12127.8916015625,12127.8916015625,12127.8916015625,12127.8916015625,0
2001-09-25,12306.2431640625,13041.94240871082,12172.479581463433,12930.473522622522,1066387
2001-09-26,12217.0703125,12618.360215149118,12127.894267859485,12395.42148248775,358910
2001-09-27,12127.8916015625,12261.655179468931,11949.540470784952,11949.540470784952,585974
