Date,Open,High,Low,Close,Volume,Change
2004-11-24,39350,40800,39300,40450,1513568,0.030573248407643305
2004-11-25,40200,40950,40200,40650,611723,0.0049443757725586845
2004-11-26,40900,41100,38750,39000,1055603,-0.040590405904059046
2004-11-29,39700,39800,38850,39500,593280,0.012820512820512775
2004-11-30,39500,39900,38950,39900,1563057,0.010126582278481067
2004-12-01,39700,39700,38800,39000,766699,-0.022556390977443663
2004-12-02,40000,40300,39800,40150,1359362,0.029487179487179382
2004-12-03,40700,40950,39900,40000,808754,-0.0037359900373599153
2004-12-06,40300,40650,39750,40300,773073,0.007500000000000062
2004-12-07,40250,40950,40250,40600,1173525,0.007444168734491274
2004-12-08,40500,41000,40150,40900,1083195,0.00738916256157629
2004-12-09,40600,40900,39350,39700,1827594,-0.02933985330073352
2004-12-10,39200,39450,37750,38200,2269307,-0.03778337531486142
2004-12-13,38000,38150,36950,37450,2033098,-0.01963350785340312
2004-12-14,37500,38300,37500,38150,1602619,0.01869158878504673
2004-12-15,38700,39450,38350,39300,1297794,0.030144167758846763
2004-12-16,39000,39200,38350,38650,1108321,-0.01653944020356235
2004-12-17,38100,38300,37700,37800,2486106,-0.021992238033635148
2004-12-20,37800,38100,37600,37950,1253600,0.003968253968253954
2004-12-21,37950,38200,37600,37650,1063852,-0.007905138339920903
2004-12-22,37950,38550,37950,38250,1093688,0.015936254980079667
2004-12-23,38700,39300,38550,39100,1697409,0.022222222222222143
2004-12-24,39200,39600,39000,39300,957499,0.005115089514066584
2004-12-27,39000,39100,38150,38350,956311,-0.024173027989821905
2004-12-28,38350,38800,38250,38600,955538,0.006518904823989535
2004-12-29,39050,39800,38900,39800,1209268,0.031088082901554515
2004-12-30,39750,40700,39750,40500,1315763,0.017587939698492372
2005-01-03,41500,42100,41300,41500,1755078,0.024691358024691468
2005-01-04,41000,42250,40950,41750,1234701,0.006024096385542244
2005-01-05,41000,41600,40900,41400,994393,-0.008383233532934131
2005-01-06,41200,41200,40550,40600,837134,-0.019323671497584516
2005-01-07,40300,40800,39650,40000,1121954,-0.014778325123152691
2005-01-10,39550,40000,39550,40000,1102308,0.0
2005-01-11,39850,40900,39800,40800,1379947,0.020000000000000018
2005-01-12,41000,41450,40550,41100,964228,0.007352941176470562
2005-01-13,41150,41850,41100,41800,1266175,0.017031630170316392
2005-01-14,41400,42650,41100,42450,1347134,0.015550239234449759
2005-01-17,43000,43500,42700,43100,1300961,0.01531213191990588
2005-01-18,43450,44100,43200,43500,1557796,0.009280742459396807
2005-01-19,43250,43800,42650,42650,1169154,-0.019540229885057436
2005-01-20,42300,42450,41950,42100,776740,-0.01289566236811257
2005-01-21,42350,43000,41800,42600,723949,0.01187648456057011
2005-01-24,43200,44600,43200,43650,1715842,0.02464788732394374
2005-01-25,43600,44550,43500,44100,1424199,0.010309278350515427
2005-01-26,44000,44850,43450,44500,1160148,0.009070294784580435
2005-01-27,44000,44250,43600,44000,1066652,-0.011235955056179803
2005-01-28,44000,44500,43700,43950,996231,-0.001136363636363602
2005-01-31,43950,44300,43400,44000,1083459,0.0011376564277587597
2005-02-01,44400,44650,43950,44500,1366880,0.011363636363636465
2005-02-02,44150,44500,43500,43600,1090226,-0.020224719101123556
2005-02-03,43850,45000,43650,44850,1564357,0.028669724770642224
2005-02-04,44800,44800,43900,44500,1431143,-0.0078037904124860225
2005-02-07,44500,44750,44400,44750,1187180,0.00561797752808979
2005-02-11,45500,45750,44850,45600,2265322,0.018994413407821265
2005-02-14,45850,46850,45750,46000,1648648,0.00877192982456143
2005-02-15,45900,46400,45700,45800,1262675,-0.004347826086956497
2005-02-16,45500,46000,45050,45150,1327603,-0.014192139737991272
2005-02-17,45000,45700,44500,44700,1552058,-0.009966777408637828
2005-02-18,44500,45450,44450,45300,1739042,0.01342281879194629
2005-02-21,45700,45700,44900,45050,1751665,-0.0055187637969095205
2005-02-22,44700,44700,43250,43650,1636719,-0.031076581576026663
2005-02-23,43000,43800,42850,43200,1594627,-0.010309278350515427
2005-02-24,43200,44350,43050,44150,1058496,0.0219907407407407
2005-02-25,44050,45000,44050,44650,1158765,0.011325028312570762
2005-02-28,44850,46500,44700,46400,1909682,0.03919372900335949
2005-03-02,47000,47200,46000,46100,1728808,-0.006465517241379337
2005-03-03,46100,47750,46100,47300,1642946,0.026030368763557465
2005-03-04,47800,48600,47400,48400,1579947,0.023255813953488413
2005-03-07,48400,49550,47150,48400,1530270,0.0
2005-03-08,49200,49200,48200,48200,762609,-0.004132231404958664
2005-03-09,48400,48400,47400,48400,817920,0.004149377593360981
2005-03-10,48000,48350,47150,47150,1296399,-0.025826446280991733
2005-03-11,47300,48600,47000,48500,1252806,0.028632025450689325
2005-03-14,47700,49400,47650,49300,1281276,0.016494845360824684
2005-03-15,49550,49600,47550,47700,1474658,-0.032454361054766734
2005-03-16,48000,48250,47400,47900,1462138,0.004192872117400492
2005-03-17,47750,48000,46550,47200,991534,-0.014613778705636737
2005-03-18,46650,47300,46250,46300,869604,-0.01906779661016944
2005-03-21,46350,47350,45700,47000,852555,0.015118790496760237
2005-03-22,46500,46550,45400,45550,1634277,-0.030851063829787195
2005-03-23,44800,45300,44250,44800,1679108,-0.016465422612513714
2005-03-24,44600,44950,44450,44500,1290941,-0.006696428571428603
2005-03-25,44500,44850,44400,44700,582835,0.004494382022471877
2005-03-28,44700,46300,44700,45800,735156,0.02460850111856816
2005-03-29,45800,46300,44550,44900,659550,-0.01965065502183405
2005-03-30,44150,44600,43750,44250,882872,-0.014476614699331813
2005-03-31,45000,45350,44700,45350,666242,0.024858757062146797
