Date,Open,High,Low,Close,Volume,Change
2004-11-24,15550,15900,15400,15850,393275,0.019292604501607746
2004-11-25,15750,15900,15700,15850,219285,0.0
2004-11-26,15950,16100,15400,15500,372557,-0.02208201892744477
2004-11-29,15550,15750,15450,15650,210923,0.00967741935483879
2004-11-30,15600,15700,15400,15650,352053,0.0
2004-12-01,15750,15750,15500,15600,311998,-0.0031948881789137795
2004-12-02,15850,15900,15500,15600,586442,0.0
2004-12-03,15750,15900,15250,15450,573493,-0.009615384615384581
2004-12-06,15400,15400,15150,15200,352065,-0.016181229773462813
2004-12-07,15200,15400,15150,15200,272270,0.0
2004-12-08,15100,15350,15050,15200,384690,0.0
2004-12-09,15200,15300,14900,14900,457374,-0.019736842105263164
2004-12-10,15000,15100,14650,14650,260392,-0.016778523489932917
2004-12-13,14650,14950,14550,14850,248528,0.013651877133105783
2004-12-14,14850,15250,14850,15200,214540,0.023569023569023573
2004-12-15,15300,15750,15250,15700,370260,0.03289473684210531
2004-12-16,15650,15800,15450,15650,250910,-0.0031847133757961776
2004-12-17,15500,15750,15500,15650,214841,0.0
2004-12-20,15650,15850,15550,15800,257470,0.009584664536741228
2004-12-21,15800,15850,15500,15600,327405,-0.012658227848101222
2004-12-22,15750,15750,15600,15750,252942,0.009615384615384581
2004-12-23,15800,15850,15500,15550,201412,-0.012698412698412653
2004-12-24,15600,15800,15500,15750,158140,0.012861736334405238
2004-12-27,15800,15900,15700,15800,227753,0.0031746031746031633
2004-12-28,15800,16200,15700,16150,481933,0.02215189873417711
2004-12-29,15850,15850,15600,15750,362870,-0.024767801857585092
2004-12-30,15650,16000,15600,15950,380552,0.012698412698412653
2005-01-03,15950,15950,15700,15750,194398,-0.01253918495297801
2005-01-04,15750,16000,15650,15900,201859,0.00952380952380949
2005-01-05,15650,15750,15550,15600,329080,-0.018867924528301883
2005-01-06,15650,15800,15550,15650,221097,0.0032051282051281937
2005-01-07,15650,15700,15250,15300,291181,-0.022364217252396124
2005-01-10,15300,15500,15300,15350,240425,0.0032679738562091387
2005-01-11,15350,15400,15100,15300,321915,-0.0032573289902280145
2005-01-12,15350,15400,15150,15150,194070,-0.009803921568627416
2005-01-13,15200,15500,15150,15450,321311,0.01980198019801982
2005-01-14,15250,15750,15250,15750,365776,0.01941747572815533
2005-01-17,15750,15800,15400,15650,664150,-0.006349206349206327
2005-01-18,15700,15750,15600,15650,345607,0.0
2005-01-19,15700,15800,15600,15650,389316,0.0
2005-01-20,15500,15550,15200,15200,350980,-0.028753993610223683
2005-01-21,15200,15400,15200,15200,215415,0.0
2005-01-24,15300,15350,15150,15200,298440,0.0
2005-01-25,15200,15200,14950,15050,253962,-0.009868421052631526
2005-01-26,15100,15400,15050,15350,326997,0.019933554817275656
2005-01-27,15450,15500,15300,15450,206431,0.006514657980456029
2005-01-28,15350,15500,15300,15450,233561,0.0
2005-01-31,15450,15900,15400,15850,470196,0.025889967637540368
2005-02-01,15850,15850,15600,15750,191138,-0.006309148264984188
2005-02-02,15850,15900,15750,15800,201575,0.0031746031746031633
2005-02-03,15850,15850,15650,15650,256913,-0.009493670886076
2005-02-04,15650,16250,15650,16200,719213,0.03514376996805102
2005-02-07,16450,16850,16350,16700,862326,0.030864197530864113
2005-02-11,16700,17150,16450,16900,677730,0.011976047904191711
2005-02-14,17200,17250,16750,16900,594090,0.0
2005-02-15,16900,17200,16700,17050,594226,0.008875739644970349
2005-02-16,17050,17200,16750,17000,403371,-0.0029325513196480912
2005-02-17,17000,17050,16650,16750,404257,-0.014705882352941124
2005-02-18,16650,17200,16600,17200,662597,0.02686567164179099
2005-02-21,17300,17500,17050,17200,642988,0.0
2005-02-22,17300,17550,17150,17150,767060,-0.0029069767441860517
2005-02-23,16900,17000,16700,16950,365773,-0.011661807580174877
2005-02-24,16850,17250,16850,17200,414795,0.014749262536873253
2005-02-25,17300,17950,17250,17900,1145149,0.04069767441860472
2005-02-28,17900,17950,17650,17900,483184,0.0
2005-03-02,18100,18100,17450,17900,772120,0.0
2005-03-03,18000,18300,17700,17950,543310,0.0027932960893854997
2005-03-04,18050,18500,17750,18350,749692,0.022284122562674202
2005-03-07,18300,18500,17700,17950,589101,-0.021798365122615793
2005-03-08,17950,18200,17400,17500,485691,-0.02506963788300831
2005-03-09,17450,17900,17200,17850,523905,0.020000000000000018
2005-03-10,17700,18000,17450,17650,408707,-0.011204481792717047
2005-03-11,17800,17950,17550,17700,553298,0.0028328611898016387
2005-03-14,17700,17750,17450,17600,306135,-0.005649717514124242
2005-03-15,17650,17850,16900,16950,754869,-0.03693181818181823
2005-03-16,16850,16950,16450,16800,384113,-0.008849557522123908
2005-03-17,16750,17200,16650,16750,489090,-0.0029761904761904656
2005-03-18,16500,17000,16500,16650,311580,-0.005970149253731294
2005-03-21,16550,16800,16300,16600,368282,-0.0030030030030030463
2005-03-22,16600,17600,16550,17550,731490,0.05722891566265065
2005-03-23,17200,17300,16650,16700,420097,-0.04843304843304841
2005-03-24,16750,16750,16300,16300,317909,-0.0239520958083832
