date,stock1,stock2,stock3,stock4,stock5,stock6,stock7,stock8,stock9,stock10,stock11,stock12,stock13,stock14,stock15,stock16,stock17,stock18,stock19,stock20,stock21,stock22,stock23,stock24,stock25,stock26,stock27,stock28,stock29,stock30,stock31,stock32,stock33,stock34,stock35,stock36,stock37,stock38,stock39,stock40,stock41,stock42,stock43,stock44,stock45,stock46,stock47,stock48,stock49,stock50
2011-01-03,5930.0,5490.0,5380.0,9540.0,12330.0,51910.0,55550.0,105560.0,270.0,32830.0,15760.0,96770.0,66570.0,3550.0,660.0,34220.0,17670.0,23530.0,53000.0,830.0,30200.0,4170.0,4020.0,35420.0,810.0,24110.0,10950.0,9150.0,86790.0,10140.0,34020.0,33780.0,6400.0,720.0,10060.0,4940,29780.0,42660.0,3600.0,35250.0,6360.0,16360.0,11200.0,6800.0,3490.0,47040.0,2380.0,32640.0,36460.0,47050.0
2011-07-01,5930.0,5380.0,5490.0,12330.0,9540.0,51910.0,270.0,55550.0,105560.0,96770.0,32830.0,15760.0,10950.0,660.0,23530.0,3550.0,11170.0,17670.0,830.0,66570.0,810.0,53000.0,10140.0,4020.0,34220.0,30200.0,24110.0,28050.0,10060.0,720.0,33780.0,35420.0,86790.0,3600.0,42660.0,6400,29780.0,9150.0,88350.0,6360.0,34020.0,35250.0,4940.0,16360.0,3490.0,47040.0,11200.0,6800.0,4170.0,32640.0
2012-01-02,5930.0,5380.0,5490.0,12330.0,270.0,51910.0,9540.0,55550.0,32830.0,15760.0,105560.0,660.0,96770.0,10950.0,17670.0,66570.0,33780.0,830.0,3550.0,35420.0,810.0,23530.0,11170.0,30200.0,34220.0,86790.0,28050.0,4020.0,720.0,53000.0,34020.0,24110.0,10140.0,6400.0,88350.0,35250,9150.0,3600.0,10060.0,29780.0,6360.0,4940.0,42660.0,47040.0,16360.0,32640.0,11200.0,6800.0,3490.0,4170.0
2012-07-02,5930.0,5380.0,5490.0,270.0,12330.0,9540.0,51910.0,55550.0,32830.0,15760.0,660.0,105560.0,96770.0,35420.0,33780.0,810.0,10950.0,830.0,17670.0,66570.0,53000.0,51900.0,3550.0,23530.0,86790.0,10140.0,86280.0,30200.0,9150.0,34220.0,11170.0,720.0,4020.0,28050.0,10130.0,24110,6400.0,3600.0,34020.0,88350.0,10060.0,4940.0,35250.0,42660.0,29780.0,6360.0,16360.0,11200.0,47040.0,3490.0
2013-01-02,5930.0,5380.0,5490.0,12330.0,270.0,51910.0,15760.0,32830.0,55550.0,9540.0,660.0,96770.0,105560.0,66570.0,17670.0,10950.0,3550.0,34220.0,23530.0,35420.0,33780.0,51900.0,810.0,830.0,53000.0,30200.0,10140.0,86790.0,3600.0,86280.0,11170.0,720.0,4020.0,10130.0,9150.0,6400,88350.0,28050.0,24110.0,35250.0,42660.0,4940.0,34020.0,16360.0,47040.0,29780.0,10060.0,11200.0,3490.0,6360.0
2013-07-01,5930.0,5380.0,12330.0,5490.0,270.0,660.0,32830.0,55550.0,15760.0,51910.0,17670.0,35420.0,9540.0,105560.0,96770.0,66570.0,23530.0,810.0,3550.0,33780.0,34220.0,86790.0,30200.0,51900.0,53000.0,830.0,10950.0,10140.0,3600.0,86280.0,35250.0,6400.0,9150.0,720.0,24110.0,88350,4020.0,139480.0,90430.0,10130.0,11170.0,42660.0,34020.0,29780.0,36570.0,16360.0,10060.0,28050.0,47040.0,11200.0
2014-01-02,5930.0,5380.0,5490.0,12330.0,660.0,35420.0,15760.0,55550.0,270.0,32830.0,51910.0,9540.0,17670.0,105560.0,96770.0,23530.0,86790.0,810.0,66570.0,3550.0,53000.0,33780.0,830.0,3600.0,34220.0,10140.0,51900.0,86280.0,10950.0,30200.0,11170.0,139480.0,4020.0,6400.0,24110.0,42660,720.0,35250.0,88350.0,10130.0,90430.0,36570.0,9150.0,10060.0,29780.0,34020.0,16360.0,47040.0,28050.0,11200.0
2014-07-01,5930.0,5380.0,660.0,35420.0,12330.0,5490.0,15760.0,270.0,55550.0,32830.0,17670.0,51910.0,9540.0,105560.0,33780.0,810.0,66570.0,830.0,34220.0,86790.0,3550.0,96770.0,86280.0,23530.0,90430.0,34730.0,3600.0,4020.0,30200.0,53000.0,6400.0,10130.0,161390.0,24110.0,51900.0,139480,720.0,10950.0,11170.0,10140.0,35250.0,88350.0,42660.0,29780.0,9150.0,10060.0,36570.0,34020.0,47040.0,16360.0
2015-01-02,5930.0,5380.0,660.0,15760.0,5490.0,35420.0,12330.0,32830.0,17670.0,270.0,55550.0,105560.0,90430.0,810.0,51910.0,86280.0,34730.0,34220.0,33780.0,3550.0,51900.0,66570.0,830.0,86790.0,9540.0,23530.0,30200.0,6400.0,96770.0,10130.0,3600.0,24110.0,4020.0,88350.0,30.0,35250,161390.0,139480.0,10950.0,11170.0,29780.0,720.0,10140.0,9150.0,36570.0,42660.0,16360.0,34020.0,47040.0,10060.0
2015-07-01,5930.0,660.0,5380.0,15760.0,90430.0,28260.0,32830.0,35420.0,18260.0,12330.0,17670.0,55550.0,5490.0,51910.0,270.0,2790.0,105560.0,810.0,33780.0,34730.0,51900.0,96770.0,3550.0,830.0,11170.0,10130.0,3600.0,34220.0,9540.0,86790.0,35250.0,24110.0,4020.0,66570.0,6400.0,10950,23530.0,86280.0,30200.0,21240.0,88350.0,30.0,139480.0,161390.0,36570.0,720.0,10140.0,29780.0,9150.0,42660.0
