Date,Close,High,Low,Open,Volume
2017-05-15,154359.40625,159665.51083984374,152429.913671875,153394.6599609375,1504154
2017-05-16,150500.40625,156771.25651041666,150500.40625,155806.5103165064,1146762
2017-05-17,138923.46875,149053.3050130208,136993.97612847222,147606.185546875,2006418
2017-05-18,142782.453125,144229.572582348,136993.9752956081,138923.4679054054,1587826
2017-05-19,138441.078125,144229.55525914635,138441.078125,142300.06288109755,680357
2017-05-22,135064.46875,138441.08046875,133134.9763392857,137958.70736607144,1133489
2017-05-23,138441.078125,138923.4512195122,134099.72027439025,136029.21265243902,634619
2017-05-24,139888.203125,140852.94935344826,138441.0837823276,139888.203125,473540
2017-05-25,138923.46875,140852.96137152778,136029.2298177083,140370.5882161458,492961
2017-05-26,136993.9375,138441.0565580986,134582.072403169,138441.0565580986,791714
2017-05-29,141817.703125,141817.703125,135546.8523065476,136993.97172619047,675099
2017-05-30,144229.5625,144229.5625,141335.3237876254,141817.6969063545,576607
2017-05-31,146641.421875,146641.421875,143264.81018708882,144711.9294819079,1989706
2017-06-01,146159.0625,149535.6745049505,144711.94306930693,146641.43564356436,405486
2017-06-02,152912.28125,154359.40063091484,147123.8037263407,147123.8037263407,1005171
2017-06-05,155324.140625,155324.140625,152429.90197981367,153394.64819487577,578458
2017-06-07,154841.765625,155324.13872663552,149535.66150700935,154359.39252336448,639485
2017-06-08,148088.546875,155324.14362785016,147123.80064128662,155324.14362785016,1255870
2017-06-09,143747.1875,147606.17239932885,141817.69505033558,147606.17239932885,822530
2017-06-12,136511.59375,140852.95185512368,136029.22062720847,137958.71311837455,1361725
2017-06-13,140370.578125,140370.578125,136511.59315936427,136993.96628006874,518659
2017-06-14,137958.71875,141335.33074737762,137958.71875,140852.9576048951,284894
2017-06-15,142300.078125,143747.1975635593,138441.09295550847,138923.4661016949,515357
2017-06-16,146641.421875,148570.9142680921,143747.18328536185,144229.55638363486,665089
2017-06-19,145194.296875,146641.4161129568,141335.3122404485,146159.04303363786,420046
2017-06-20,148088.546875,148088.546875,141817.69635586318,144229.56194014658,439121
2017-06-21,147606.15625,149535.6484885621,144711.91789215687,148570.90236928104,320623
2017-06-22,146159.0625,149053.30136138614,145676.68935643564,146641.43564356436,274429
2017-06-23,148088.546875,149535.66622557002,147123.80064128662,147606.17375814333,262224
2017-06-26,147123.796875,150018.03550204917,146159.0506659836,148570.91618852457,256090
2017-06-27,144711.921875,148088.53338541667,142782.42958333332,146641.41416666665,246479
2017-06-28,143747.1875,147123.79928691275,143747.1875,145194.30683724832,177019
2017-06-29,149535.671875,149535.671875,144229.5673891129,144229.5673891129,305111
2017-06-30,149535.671875,150982.79128024195,148088.55246975805,148570.9256048387,207954
2017-07-03,147123.796875,150500.40860655738,146641.4237704918,149535.662397541,177684
2017-07-04,147123.796875,148570.91618852457,146159.0506659836,147606.16997950818,125481
2017-07-05,144229.5625,147123.8012123746,143747.1893812709,147123.8012123746,173393
2017-07-06,142782.453125,145676.69203969595,142300.07997255068,144229.572582348,165756
2017-07-07,149535.671875,150500.4181451613,143747.19425403225,144229.5673891129,452333
2017-07-10,145676.671875,149053.28347475166,145194.29878932118,149053.28347475166,151964
2017-07-11,143264.796875,146641.40824915824,143264.796875,145676.6621422559,190487
2017-07-12,139888.203125,145194.3073814655,139405.83001077586,143747.1880387931,340497
2017-07-13,139888.203125,141817.69558189655,139405.83001077586,141335.3224676724,209308
2017-07-14,140370.578125,141817.69748711342,139405.83188359108,140852.95124570446,148846
2017-07-17,140370.578125,141335.32436640892,139405.83188359108,140370.578125,102387
2017-07-18,139888.203125,141335.3224676724,139405.83001077586,140852.94935344826,115522
2017-07-19,139888.203125,139888.203125,137476.3375538793,139888.203125,158087
2017-07-20,143264.796875,143747.16992845116,139888.18550084173,140852.9316077441,190152
2017-07-21,142782.453125,144229.572582348,141335.33366765204,143747.19942989864,120518
2017-07-24,143747.1875,144229.5606124161,142782.44127516777,144229.5606124161,86607
2017-07-25,141335.3125,144229.55098122868,140852.9394197952,144229.55098122868,133767
2017-07-26,140852.9375,142300.0567208904,139405.81827910958,142300.0567208904,121396
2017-07-27,140852.9375,141335.31057363012,139888.19135273973,141335.31057363012,67004
2017-07-28,139405.8125,141335.30471453286,139405.8125,140852.93166089966,115409
2017-07-31,137958.71875,140370.5844624126,137476.3456075175,138923.46503496505,126376
2017-08-01,136511.59375,138923.4593639576,136511.59375,138441.08624116608,165735
2017-08-02,136511.59375,137958.71311837455,136511.59375,137476.33999558305,104535
2017-08-03,131687.859375,136511.59048763735,130723.11315247254,136511.59048763735,314969
2017-08-04,125899.3828125,132652.60641163794,124934.63658405172,131205.4870689655,505939
2017-08-07,129758.3828125,130723.12915311339,123969.9047688197,123969.9047688197,334626
2017-08-08,130723.109375,131205.48247232471,128793.6169857011,130723.109375,108453
2017-08-09,129758.3828125,132170.24866403345,129276.00964219331,129758.3828125,136255
2017-08-10,125899.3828125,129758.3677262931,124934.63658405172,129275.99461206896,284470
2017-08-11,123005.140625,126381.75232843138,122040.39442401961,123969.8868259804,241741
2017-08-14,126381.7578125,126864.13093392176,119146.16099117366,122522.77284112594,484611
2017-08-16,131687.859375,131687.859375,124934.6358173077,126381.7551510989,335214
2017-08-17,130723.109375,132170.22866697417,129275.99008302583,130723.109375,122988
2017-08-18,133617.328125,133617.328125,127346.47879061372,129275.97089350181,181977
2017-08-21,137476.328125,137958.70120614037,132652.5973135965,134099.71655701756,299616
2017-08-22,139405.8125,139888.1855536332,136993.9472318339,137958.69333910034,326501
2017-08-23,138441.078125,140370.57050304877,136511.58574695123,139888.1974085366,220314
2017-08-24,150018.015625,151465.13474678458,146159.03130024116,149053.26954381028,1363312
2017-08-25,144711.921875,148088.53338541667,141817.6834375,147606.1603125,922485
2017-08-28,143264.796875,148088.52740951176,142782.42382154881,146159.03519570705,254527
2017-08-29,140370.578125,143747.18996993126,138441.08564218212,142782.44372852234,248788
2017-08-30,147123.796875,147606.16997950818,142782.43893442623,142782.43893442623,389665
2017-08-31,149053.28125,149053.28125,143747.17738673138,147606.1620145631,263067
2017-09-01,149053.28125,149535.65432847897,146159.0427791262,147606.1620145631,206062
2017-09-04,149053.28125,149053.28125,149053.28125,149053.28125,0
2017-09-05,145194.296875,147123.78919227576,144229.5507163621,146641.4161129568,125772
2017-09-06,151465.140625,151465.140625,145194.29085390127,146641.41003184713,408286
2017-09-07,152429.890625,153394.63676819621,150500.3983386076,150500.3983386076,317444
